dir,t_entry,entry_bar,eval_bar,entry,sl,tp,risk,swing,zone_lo,zone_hi,tap,pivot,spread,tp_used,result,exit_t,dur_min,mfe_pips,gross_pips,time,exit_time,risk_pips,cost_pips,net_pips,month
-1,1609777440,1099,1100,1.22702,1.22783,1.2254,0.0008099999999999774,1.22773,1.22742,1.2279,1609776180,1609776600,4e-05,1.2254,1,1609779420,33.0,17.799999999998928,16.199999999999548,2021-01-04 16:24:00,2021-01-04 16:57:00,8.099999999999774,0.4,15.799999999999548,2021-01
-1,1609782300,1180,1185,1.22507,1.2272,1.2208100000000002,0.0021299999999999653,1.2271,1.22688,1.22712,1609777800,1609781700,3e-05,1.2208100000000002,-1,1609815480,553.0,9.40000000000163,-21.299999999999653,2021-01-04 17:45:00,2021-01-05 02:58:00,21.299999999999653,0.3,-21.599999999999653,2021-01
-1,1609847160,2259,2263,1.22827,1.22916,1.2264899999999999,0.0008900000000000574,1.22906,1.22861,1.22892,1609846320,1609846500,3e-05,1.2264899999999999,1,1609853520,106.0,18.000000000000238,17.80000000000115,2021-01-05 11:46:00,2021-01-05 13:32:00,8.900000000000574,0.3,17.500000000001148,2021-01
1,1609867200,2593,2603,1.22975,1.22916,1.2309299999999996,0.0005899999999998684,1.22926,1.22908,1.22936,1609866000,1609866900,3e-05,1.2309299999999996,-1,1609873320,102.0,7.300000000001194,-5.899999999998684,2021-01-05 17:20:00,2021-01-05 19:02:00,5.899999999998684,0.3,-6.199999999998684,2021-01
-1,1609903440,3190,3196,1.22902,1.22962,1.2278200000000001,0.0005999999999999339,1.22952,1.22817,1.22926,1609902060,1609902900,4e-05,1.2278200000000001,-1,1609906920,58.0,6.699999999999484,-5.999999999999339,2021-01-06 03:24:00,2021-01-06 04:22:00,5.999999999999339,0.4,-6.3999999999993396,2021-01
1,1609973820,4356,4359,1.23268,1.23207,1.2339,0.0006099999999999994,1.23217,1.232,1.233,1609965000,1609972500,8e-05,1.2339,1,1609975140,22.0,12.399999999999078,12.199999999999989,2021-01-06 22:57:00,2021-01-06 23:19:00,6.099999999999994,0.8,11.399999999999988,2021-01
-1,1609993680,4687,4719,1.23296,1.23323,1.23242,0.00026999999999999247,1.23313,1.23292,1.23357,1609992420,1609992900,3e-05,1.23242,1,1609995420,29.0,5.5000000000005045,5.399999999999849,2021-01-07 04:28:00,2021-01-07 04:57:00,2.6999999999999247,0.3,5.0999999999998495,2021-01
-1,1610007540,4918,4918,1.2298,1.23187,1.22566,0.0020700000000000163,1.23177,1.23166,1.23167,1610004600,1610006400,4e-05,1.22566,1,1610015040,125.0,42.69999999999996,41.400000000000325,2021-01-07 08:19:00,2021-01-07 10:24:00,20.700000000000163,0.4,41.00000000000033,2021-01
-1,1610024280,5197,5199,1.22689,1.22742,1.2258300000000002,0.0005299999999999194,1.22732,1.22668,1.2273,1610022360,1610023500,3e-05,1.2258300000000002,-1,1610025240,16.0,3.6999999999998145,-5.299999999999194,2021-01-07 12:58:00,2021-01-07 13:14:00,5.299999999999194,0.3,-5.599999999999194,2021-01
1,1610142060,7154,7163,1.22185,1.22155,1.2224500000000005,0.000300000000000189,1.22165,1.22126,1.22242,1610139600,1610141700,7e-05,1.2224500000000005,-1,1610316000,2899.0,5.499999999998284,-3.00000000000189,2021-01-08 21:41:00,2021-01-10 22:00:00,3.00000000000189,0.7,-3.70000000000189,2021-01
-1,1610396280,8509,8516,1.21616,1.2166,1.21528,0.00043999999999999595,1.2165,1.21623,1.21672,1610395200,1610395800,3e-05,1.21528,1,1610398740,41.0,8.899999999998354,8.799999999999919,2021-01-11 20:18:00,2021-01-11 20:59:00,4.3999999999999595,0.3,8.499999999999918,2021-01
-1,1610400420,8577,8585,1.21557,1.21587,1.21497,0.00029999999999996696,1.21577,1.21557,1.21594,1610398800,1610400000,3e-05,1.21497,1,1610402160,29.0,7.099999999999884,5.999999999999339,2021-01-11 21:27:00,2021-01-11 21:56:00,2.9999999999996696,0.3,5.699999999999339,2021-01
-1,1610441160,9251,9255,1.2159,1.21762,1.21246,0.0017199999999999438,1.21752,1.21745,1.21771,1610436660,1610440500,3e-05,1.21246,-1,1610443680,42.0,8.799999999999919,-17.199999999999438,2021-01-12 08:46:00,2021-01-12 09:28:00,17.199999999999438,0.3,-17.49999999999944,2021-01
1,1610498820,10206,10206,1.2213,1.2203,1.2233000000000003,0.001000000000000112,1.2204,1.2205,1.22054,1610494200,1610497800,4e-05,1.2233000000000003,-1,1610524740,432.0,9.699999999999154,-10.000000000001119,2021-01-13 00:47:00,2021-01-13 07:59:00,10.000000000001119,0.4,-10.40000000000112,2021-01
1,1610503920,10291,10299,1.22143,1.22122,1.22185,0.00021000000000004349,1.22132,1.22049,1.22146,1610503320,1610503500,4e-05,1.22185,1,1610505480,26.0,4.8000000000003595,4.20000000000087,2021-01-13 02:12:00,2021-01-13 02:38:00,2.100000000000435,0.4,3.80000000000087,2021-01
