date,event,release_time_et,notes
2025-12-18,CPI,08:30,verified bls.gov schedule (Nov 2025 ref)
2026-01-09,NFP,08:30,verified bls.gov ces schedule (Dec 2025 ref)
2026-01-13,CPI,08:30,verified bls.gov schedule (Dec 2025 ref)
2026-02-11,NFP,08:30,verified bls.gov ces schedule (Jan 2026 ref; Wednesday)
2026-02-13,CPI,08:30,verified bls.gov schedule (Jan 2026 ref)
2026-03-06,NFP,08:30,verified bls.gov ces schedule (Feb 2026 ref)
2026-03-11,CPI,08:30,verified bls.gov schedule (Feb 2026 ref)
2026-04-03,NFP,08:30,verified bls.gov ces schedule (Mar 2026 ref)
2026-04-10,CPI,08:30,verified bls.gov schedule (Mar 2026 ref)
2026-05-08,NFP,08:30,verified bls.gov ces schedule (Apr 2026 ref)
2026-05-12,CPI,08:30,verified bls.gov schedule (Apr 2026 ref)
2026-06-05,NFP,08:30,verified bls.gov ces schedule (May 2026 ref)
2026-06-10,CPI,08:30,verified bls.gov schedule (May 2026 ref)
2026-07-02,NFP,08:30,verified bls.gov ces schedule (Jun 2026 ref; Thursday, July 4th week)
2026-07-14,CPI,08:30,verified bls.gov schedule (Jun 2026 ref)
2026-08-07,NFP,08:30,verified bls.gov ces schedule (Jul 2026 ref)
2026-08-12,CPI,08:30,verified bls.gov schedule (Jul 2026 ref)
2026-09-04,NFP,08:30,verified bls.gov ces schedule (Aug 2026 ref)
2026-09-11,CPI,08:30,verified bls.gov schedule (Aug 2026 ref)
2026-10-02,NFP,08:30,verified bls.gov ces schedule (Sep 2026 ref)
2026-10-14,CPI,08:30,verified bls.gov schedule (Sep 2026 ref)
2026-11-06,NFP,08:30,verified bls.gov ces schedule (Oct 2026 ref)
2026-11-10,CPI,08:30,verified bls.gov schedule (Oct 2026 ref)
2026-12-04,NFP,08:30,verified bls.gov ces schedule (Nov 2026 ref)
2026-12-10,CPI,08:30,verified bls.gov schedule (Nov 2026 ref)
