universe: 82 markets

  58/160 long: book Sharpe 0.65 vs buy&hold 0.66 | MaxDD -42% vs -51% | vol-targeted: 0.92 vs 0.72, DD -24% vs -63%
  58/160 ls  : book Sharpe 0.40 vs buy&hold 0.66 | MaxDD -60% vs -51% | vol-targeted: 0.65 vs 0.72, DD -40% vs -63%
  60/130 long: book Sharpe 0.71 vs buy&hold 0.68 | MaxDD -42% vs -51% | vol-targeted: 0.97 vs 0.74, DD -21% vs -63%
  60/130 ls  : book Sharpe 0.47 vs buy&hold 0.68 | MaxDD -55% vs -51% | vol-targeted: 0.71 vs 0.74, DD -32% vs -63%
  50/136 long: book Sharpe 0.73 vs buy&hold 0.67 | MaxDD -42% vs -51% | vol-targeted: 1.00 vs 0.73, DD -22% vs -63%
  50/136 ls  : book Sharpe 0.51 vs buy&hold 0.67 | MaxDD -56% vs -51% | vol-targeted: 0.76 vs 0.73, DD -30% vs -63%
  40/116 long: book Sharpe 0.74 vs buy&hold 0.68 | MaxDD -48% vs -51% | vol-targeted: 1.00 vs 0.74, DD -23% vs -63%
  40/116 ls  : book Sharpe 0.51 vs buy&hold 0.68 | MaxDD -61% vs -51% | vol-targeted: 0.78 vs 0.74, DD -39% vs -63%
  50/200 long: book Sharpe 0.65 vs buy&hold 0.67 | MaxDD -46% vs -51% | vol-targeted: 0.92 vs 0.71, DD -32% vs -64%
  50/200 ls  : book Sharpe 0.39 vs buy&hold 0.67 | MaxDD -71% vs -51% | vol-targeted: 0.63 vs 0.71, DD -52% vs -64%
  12/26 long: book Sharpe 0.69 vs buy&hold 0.63 | MaxDD -48% vs -52% | vol-targeted: 0.87 vs 0.68, DD -42% vs -63%
  12/26 ls  : book Sharpe 0.38 vs buy&hold 0.63 | MaxDD -66% vs -52% | vol-targeted: 0.68 vs 0.68, DD -45% vs -63%
  32/384 long: book Sharpe 0.64 vs buy&hold 0.68 | MaxDD -45% vs -50% | vol-targeted: 0.88 vs 0.68, DD -27% vs -64%
  32/384 ls  : book Sharpe 0.39 vs buy&hold 0.68 | MaxDD -67% vs -50% | vol-targeted: 0.65 vs 0.68, DD -37% vs -64%
  150/710 long: book Sharpe 0.47 vs buy&hold 0.67 | MaxDD -50% vs -50% | vol-targeted: 0.69 vs 0.66, DD -28% vs -64%
  150/710 ls  : book Sharpe 0.08 vs buy&hold 0.67 | MaxDD -85% vs -50% | vol-targeted: 0.27 vs 0.66, DD -62% vs -64%

wrote /home/user/kkk/results/tables/bh_reference.csv

   pair mode  markets  days  st_sharpe  bh_sharpe  st_dd  bh_dd  vt_sharpe  bhvt_sharpe  vt_dd  bhvt_dd  vt_calmar  bhvt_calmar
 58/160 long       82 15612      0.651      0.660 -0.421 -0.513      0.920        0.720 -0.241   -0.635      0.353        0.109
 58/160   ls       82 15612      0.399      0.660 -0.602 -0.513      0.652        0.720 -0.401   -0.635      0.153        0.109
 60/130 long       82 15652      0.706      0.675 -0.419 -0.513      0.973        0.737 -0.211   -0.633      0.428        0.112
 60/130   ls       82 15652      0.472      0.675 -0.552 -0.513      0.710        0.737 -0.320   -0.633      0.210        0.112
 50/136 long       82 15643      0.729      0.674 -0.419 -0.513      0.998        0.733 -0.218   -0.631      0.427        0.112
 50/136   ls       82 15643      0.510      0.674 -0.560 -0.513      0.758        0.733 -0.304   -0.631      0.238        0.112
 40/116 long       82 15670      0.742      0.676 -0.483 -0.513      1.004        0.741 -0.234   -0.633      0.402        0.113
 40/116   ls       82 15670      0.512      0.676 -0.611 -0.513      0.779        0.741 -0.388   -0.633      0.192        0.113
 50/200 long       82 15560      0.652      0.666 -0.464 -0.513      0.917        0.714 -0.317   -0.636      0.267        0.108
 50/200   ls       82 15560      0.393      0.666 -0.710 -0.513      0.628        0.714 -0.516   -0.636      0.114        0.108
  12/26 long       82 15790      0.690      0.629 -0.485 -0.521      0.874        0.679 -0.425   -0.628      0.195        0.103
  12/26   ls       82 15790      0.376      0.629 -0.660 -0.521      0.675        0.679 -0.452   -0.628      0.141        0.103
 32/384 long       81 15314      0.637      0.677 -0.446 -0.497      0.883        0.679 -0.274   -0.636      0.295        0.103
 32/384   ls       81 15314      0.391      0.677 -0.666 -0.497      0.646        0.679 -0.374   -0.636      0.162        0.103
150/710 long       80 14882      0.470      0.675 -0.497 -0.497      0.690        0.662 -0.284   -0.637      0.218        0.100
150/710   ls       80 14882      0.083      0.675 -0.853 -0.497      0.272        0.662 -0.616   -0.637      0.036        0.100
