asset,asset_class,bh_sharpe,bh_cagr,bh_dd,bh_calmar,n_bars,start,end,ann,adjustment,cost_bps
crypto/BTC_14_19,crypto,1.6121643820709013,1.6046375200169816,-0.8380152671755725,1.9148070242505428,1264.0,2014-12-01,2019-07-04,365,raw,20.0
crypto/BTC_20_26,crypto,0.4845501205997458,0.1202384821310924,-0.7663456370856907,0.15689850155387217,1878.0,2020-01-01,2026-03-28,365,raw,20.0
crypto/ETH_24_25,crypto,0.5592676773047671,0.14969715348162815,-0.4780605666952832,0.3131342844620051,313.0,2024-01-01,2025-12-14,357,raw,20.0
etf/GLD,etf,0.13275325048960895,0.008529205868749305,-0.4555501263459592,0.01872287016395635,2152.0,2008-12-31,2019-02-22,252,raw,6.0
etf/QQQ,etf,1.0418611322331937,0.17749681618079383,-0.2279665361637808,0.7786090852092108,2152.0,2008-12-31,2019-02-22,252,raw,6.0
etf/SHY,etf,0.8282456880720912,0.006926065553077696,-0.0107352866216179,0.6451682006450126,2152.0,2008-12-31,2019-02-22,252,raw,6.0
etf/SPY,etf,0.9432791319526089,0.1344094015906927,-0.1934891216121718,0.6946612836462297,2152.0,2008-12-31,2019-02-22,252,raw,6.0
fut_commodity/BRENT_W,fut_commodity,0.6089411581684047,-0.3585948165684836,-0.9999999931111276,-0.35859481903879753,8162.0,1990-09-21,2024-03-28,308,back_adjusted,4.0
fut_commodity/COPPER,fut_commodity,0.3614432937883439,0.06346681189349149,-0.607569418223657,0.10446018181601142,7221.0,1995-09-01,2024-03-28,310,back_adjusted,4.0
fut_commodity/CORN,fut_commodity,0.02966210865652909,-0.01006373181855863,-0.7212076975406294,-0.013953999455187023,12598.0,1972-10-18,2024-03-28,283,back_adjusted,4.0
fut_commodity/COTTON,fut_commodity,0.664970377223345,0.227181056571464,-0.9351342549754456,0.242939508806069,3611.0,2007-02-22,2024-03-28,252,back_adjusted,4.0
fut_commodity/CRUDE_W,fut_commodity,0.29097286953345364,0.014400046288110313,-0.9398087790799248,0.015322315143946618,4803.0,2004-01-20,2024-03-28,310,back_adjusted,4.0
fut_commodity/GAS_US,fut_commodity,-0.27327469386474645,-0.0687828289841912,-0.932990412476584,-0.07372297513927294,8038.0,1990-07-26,2024-03-28,251,back_adjusted,4.0
fut_commodity/GOLD,fut_commodity,0.16598125965767205,0.012330898423828451,-0.6015990966663571,0.02049686991246778,11978.0,1975-04-01,2024-03-28,312,back_adjusted,4.0
fut_commodity/SILVER,fut_commodity,0.07441000263440473,-0.0045242121484907446,-0.8300694048154685,-0.005450402246179059,13809.0,1970-06-15,2024-03-28,310,back_adjusted,4.0
fut_commodity/SOYBEAN,fut_commodity,0.30723389539498497,-0.9866045432029602,-1.0,-0.9866045432029602,6722.0,1988-05-13,2024-03-28,251,back_adjusted,4.0
fut_commodity/WHEAT,fut_commodity,-0.028745488316857335,-0.013540045664451345,-0.7443443168565521,-0.01819056766851186,12250.0,1973-12-19,2024-03-28,252,back_adjusted,4.0
fut_equity/BOVESPA,fut_equity,0.042709678871698936,-0.005313991246755743,-0.3574078612232088,-0.014868143158823927,2224.0,2012-12-12,2024-03-28,240,back_adjusted,4.0
fut_equity/CAC,fut_equity,0.4433117789431139,0.08305221934881873,-0.4546079250171715,0.18268977459132874,3437.0,2009-04-16,2024-03-28,257,back_adjusted,4.0
