asset,asset_class,bh_sharpe,bh_cagr,bh_dd,bh_calmar,n_bars,start,end,ann,adjustment,cost_bps
crypto/BTC_14_19,crypto,1.6121643820709013,1.6046375200169816,-0.8380152671755725,1.9148070242505428,1264.0,2014-12-01,2019-07-04,365,raw,20.0
crypto/BTC_20_26,crypto,0.48455012059974584,0.12023848213109246,-0.7663456370856907,0.15689850155387225,1878.0,2020-01-01,2026-03-28,365,raw,20.0
crypto/ETH_24_25,crypto,0.56549926437829,0.15329675099889212,-0.47806056669528324,0.3206638691381625,313.0,2024-01-01,2025-12-14,365,raw,20.0
etf/GLD,etf,0.1597685616955442,0.012377397379292018,-0.45555012634595926,0.027170220494884087,2152.0,2008-12-31,2019-02-22,365,raw,6.0
etf/QQQ,etf,1.2538800667364274,0.26700693114476814,-0.2279665361637808,1.1712549378428907,2152.0,2008-12-31,2019-02-22,365,raw,6.0
etf/SHY,etf,0.9967938398929982,0.01004735957437977,-0.010735286621617986,0.9359190796216921,2152.0,2008-12-31,2019-02-22,365,raw,6.0
etf/SPY,etf,1.1352366110333854,0.20040915413706328,-0.1934891216121718,1.0357644526329597,2152.0,2008-12-31,2019-02-22,365,raw,6.0
fut_commodity/BRENT_W,fut_commodity,0.6628975331454255,-0.4092014135899392,-0.9999999931111275,-0.4092014164088756,8162.0,1990-09-21,2024-03-28,365,back_adjusted,4.0
fut_commodity/COPPER,fut_commodity,0.3921983448911754,0.07514065796189216,-0.607569418223657,0.12367419377621072,7221.0,1995-09-01,2024-03-28,365,back_adjusted,4.0
fut_commodity/CORN,fut_commodity,0.033686449228117414,-0.012960755106624713,-0.7212076975406294,-0.01797090512320075,12598.0,1972-10-18,2024-03-28,365,back_adjusted,4.0
fut_commodity/COTTON,fut_commodity,0.8002919728691175,0.34516762713283655,-0.9351342549754457,0.36911023769725965,3611.0,2007-02-22,2024-03-28,365,back_adjusted,4.0
fut_commodity/CRUDE_W,fut_commodity,0.31573162319089254,0.0169764668284164,-0.9398087790799247,0.018063745738826156,4803.0,2004-01-20,2024-03-28,365,back_adjusted,4.0
fut_commodity/GAS_US,fut_commodity,-0.32954064541435724,-0.0984403912631396,-0.9329904124765841,-0.1055106139856611,8038.0,1990-07-26,2024-03-28,365,back_adjusted,4.0
fut_commodity/GOLD,fut_commodity,0.17952634594799355,0.014440627427195485,-0.6015990966663571,0.024003738548171658,11978.0,1975-04-01,2024-03-28,365,back_adjusted,4.0
fut_commodity/SILVER,fut_commodity,0.08074151707363258,-0.005324754387980274,-0.8300694048154685,-0.006414830322729473,13809.0,1970-06-15,2024-03-28,365,back_adjusted,4.0
fut_commodity/SOYBEAN,fut_commodity,0.3704918840078942,-0.9981109085648466,-1.0,-0.9981109085648466,6722.0,1988-05-13,2024-03-28,365,back_adjusted,4.0
fut_commodity/WHEAT,fut_commodity,-0.03459520054448578,-0.01955188896349064,-0.7443443168565521,-0.02626726438385453,12250.0,1973-12-19,2024-03-28,365,back_adjusted,4.0
fut_equity/BOVESPA,fut_equity,0.052670460740308546,-0.008070501641050118,-0.3574078612232088,-0.022580649495031444,2224.0,2012-12-12,2024-03-28,365,back_adjusted,4.0
fut_equity/CAC,fut_equity,0.5283103772947942,0.11997991033294031,-0.4546079250171715,0.2639195309417635,3437.0,2009-04-16,2024-03-28,365,back_adjusted,4.0
fut_equity/DAX,fut_equity,0.41010954188113324,0.06552600694820077,-0.4689134987863275,0.13974007384688103,5704.0,2000-03-13,2024-03-28,365,back_adjusted,4.0
fut_equity/EUROSTX200-LARGE,fut_equity,0.5945538439284846,0.12091213466709136,-0.3703302970049954,0.3264980900697422,2172.0,2013-03-12,2024-03-28,365,back_adjusted,4.0
fut_equity/FTSE100,fut_equity,0.33346001875499076,0.05619318981434553,-0.7437510831297218,0.07555375862833474,9653.0,1984-05-21,2024-03-28,365,back_adjusted,4.0
fut_equity/HANG,fut_equity,0.46371402663015265,0.0431619816065686,-0.9893680602080319,0.043625808576732344,7019.0,1993-12-09,2024-03-28,365,back_adjusted,4.0
fut_equity/IBEX,fut_equity,0.36026953452158295,0.030437858776675458,-0.9601134636001488,0.03170235595128753,6414.0,1997-05-09,2024-03-28,365,back_adjusted,4.0
fut_equity/KOSPI,fut_equity,0.527962521393982,0.09824560584789131,-0.4101105575981018,0.23955883121684857,2094.0,2014-03-13,2024-03-29,365,back_adjusted,4.0
fut_equity/NIKKEI,fut_equity,0.8162555998728297,0.2539256142359357,-0.5035431340633112,0.5042777809060728,2870.0,2011-06-10,2024-03-29,365,back_adjusted,4.0
