asset,asset_class,bh_sharpe,bh_cagr,bh_dd,bh_calmar,n_bars,start,end,ann,adjustment,cost_bps
crypto/BTC_14_19,crypto,3.647173484828998,198.32397265147225,-0.8198450052907011,241.9042274718139,238.0,2014-12-05,2019-07-05,365,raw,20.0
crypto/BTC_20_26,crypto,0.8491121181361032,0.19761245940561914,-0.7424737064918905,0.2661541515581973,260.0,2020-01-03,2026-04-03,365,raw,20.0
crypto/ETH_24_25,crypto,1.484171041806262,2.0243868507893397,-0.6087808542278672,3.325312937702226,102.0,2024-01-05,2025-12-19,365,raw,20.0
etf/GLD,etf,0.10212628681556528,-0.023241982802734425,-0.23929379837894255,-0.09712739302139675,260.0,2009-01-02,2019-02-22,365,raw,6.0
etf/QQQ,etf,2.5162056964497053,1.6670579171074476,-0.20795299841662757,8.016513009192334,260.0,2009-01-02,2019-02-22,365,raw,6.0
etf/SHY,etf,2.2675074816562932,0.05062160064433522,-0.009942068683021022,5.0916567022702575,260.0,2009-01-02,2019-02-22,365,raw,6.0
etf/SPY,etf,2.249185515386608,1.0275757254983933,-0.1708428028890866,6.014744010993012,260.0,2009-01-02,2019-02-22,365,raw,6.0
fut_commodity/BRENT_W,fut_commodity,0.8221716702452143,-0.037619398216422455,-0.9839249616373885,-0.03823401141670247,1241.0,1990-09-21,2024-03-29,365,back_adjusted,4.0
fut_commodity/COPPER,fut_commodity,1.2222302554804108,1.071674367987941,-0.8677242824022795,1.23504019620268,1091.0,1995-09-01,2024-03-29,365,back_adjusted,4.0
fut_commodity/CORN,fut_commodity,-0.044770051546585234,-0.15318325410275527,-0.784327725612331,-0.1953051627534445,2281.0,1972-10-20,2024-03-29,365,back_adjusted,4.0
fut_commodity/COTTON,fut_commodity,0.1750926315109708,-0.12115997058831728,-0.5976628760884705,-0.2027229320001838,453.0,2007-02-23,2024-03-29,365,back_adjusted,4.0
fut_commodity/CRUDE_W,fut_commodity,0.590283597647224,-0.07842515212932415,-0.8824290477147514,-0.08887417332013688,653.0,2004-01-23,2024-03-29,365,back_adjusted,4.0
fut_commodity/GAS_US,fut_commodity,-0.9341871225997874,-0.4417679814244672,-0.9162248420233111,-0.4821611040898054,1357.0,1990-07-27,2024-03-29,365,back_adjusted,4.0
fut_commodity/GOLD,fut_commodity,0.4383277918678537,0.08881499158806892,-0.43782967290505653,0.2028528377228751,2156.0,1975-04-04,2024-03-29,365,back_adjusted,4.0
fut_commodity/SILVER,fut_commodity,0.09252760197485871,-0.1469021939605609,-0.9142830085574379,-0.16067475014366087,2406.0,1970-06-19,2024-03-29,365,back_adjusted,4.0
fut_commodity/SOYBEAN,fut_commodity,0.3946724640420616,-0.999999999999999,-1.0,-0.999999999999999,1109.0,1988-05-13,2024-03-29,365,back_adjusted,4.0
fut_commodity/WHEAT,fut_commodity,-0.15045602172400097,-0.13329076710474255,-0.8196144154273598,-0.16262618689453218,2221.0,1973-12-21,2024-03-29,365,back_adjusted,4.0
fut_equity/BOVESPA,fut_equity,-0.2965490334884584,-0.23851661685093503,-0.3630552087851141,-0.656970650962644,260.0,2012-12-14,2024-03-29,365,back_adjusted,4.0
fut_equity/CAC,fut_equity,1.4236015820236378,0.9588207046129676,-0.40277384056218485,2.3805436402589155,380.0,2009-04-17,2024-03-29,365,back_adjusted,4.0
fut_equity/DAX,fut_equity,0.6805894532858642,0.24520539837182606,-0.5060238025806952,0.48457285432284253,854.0,2000-03-17,2024-03-29,365,back_adjusted,4.0
