asset,asset_class,fast,slow,ratio,sharpe,cagr,max_dd,calmar,bh_sharpe,bh_cagr,ann_vol,lag1_autocorr,years
crypto/BTC_14_19,crypto,14,230,16.43,1.735,1.804,-0.694,2.597,1.612,1.605,0.864,-0.136,4.6
stock/HD,stock,46,388,8.43,1.375,0.285,-0.256,1.115,1.351,0.278,0.22,0.006,10.1
stock/UNH,stock,8,378,47.25,1.353,0.317,-0.212,1.495,1.286,0.298,0.266,-0.023,10.1
stock/AAPL,stock,56,96,1.71,1.23,0.333,-0.263,1.267,1.006,0.254,0.27,0.032,10.1
crypto/BTC_20_26,crypto,98,266,2.71,1.19,0.692,-0.546,1.267,0.485,0.12,0.609,-0.06,6.2
fx_futures/CNH,fx_futures,8,50,6.25,1.187,0.062,-0.074,0.833,0.074,0.003,0.051,-0.006,8.6
etf/QQQ,etf,40,378,9.45,1.098,0.189,-0.228,0.83,1.042,0.177,0.184,-0.032,10.1
stock/MCD,stock,64,376,5.88,1.033,0.161,-0.163,0.985,0.993,0.153,0.165,-0.069,10.1
stock/BA,stock,106,360,3.4,1.025,0.243,-0.361,0.672,1.117,0.268,0.264,0.026,10.1
etf/SPY,etf,86,378,4.4,1.01,0.146,-0.193,0.756,0.943,0.134,0.165,-0.055,10.1
stock/MSFT,stock,120,382,3.18,0.993,0.224,-0.182,1.228,0.97,0.218,0.248,-0.058,10.1
index/^IXIC,index,92,378,4.11,0.962,0.16,-0.236,0.677,0.907,0.149,0.186,-0.049,10.1
stock/JNJ,stock,88,390,4.43,0.958,0.141,-0.183,0.769,0.926,0.135,0.152,-0.018,10.1
etf/SHY,etf,44,316,7.18,0.945,0.008,-0.01,0.819,0.828,0.007,0.01,-0.096,10.1
stock/AXP,stock,96,144,1.5,0.922,0.211,-0.278,0.758,0.651,0.126,0.323,-0.088,10.1
stock/NKE,stock,118,390,3.31,0.911,0.208,-0.378,0.551,0.995,0.233,0.254,-0.072,10.1
fut_rates/BOBL,fut_rates,120,320,2.67,0.894,0.031,-0.055,0.566,0.458,0.016,0.038,0.001,16.2
fut_rates/OAT,fut_rates,114,332,2.91,0.894,0.061,-0.09,0.68,0.321,0.02,0.068,-0.016,11.1
crypto/ETH_24_25,crypto,22,40,1.82,0.862,0.429,-0.549,0.781,0.559,0.15,0.701,-0.019,2.0
fut_rates/BUND,fut_rates,116,400,3.45,0.851,0.075,-0.129,0.585,0.688,0.06,0.091,-0.009,14.3
stock/KO,stock,108,352,3.26,0.796,0.112,-0.138,0.809,0.705,0.097,0.158,-0.032,10.1
stock/PFE,stock,120,400,3.33,0.789,0.133,-0.227,0.589,0.92,0.16,0.201,-0.026,10.1
index/^DJI,index,116,378,3.26,0.775,0.104,-0.188,0.553,0.818,0.11,0.155,-0.062,10.1
index/^GSPC,index,120,378,3.15,0.767,0.107,-0.198,0.541,0.802,0.112,0.166,-0.066,10.1
stock/GE,stock,86,378,4.4,0.728,0.161,-0.401,0.4,0.033,-0.022,0.296,0.042,10.1
stock/DIS,stock,50,102,2.04,0.719,0.139,-0.425,0.328,0.861,0.168,0.234,-0.032,10.1
fut_commodity/CRUDE_W,fut_commodity,28,58,2.07,0.667,0.237,-0.719,0.33,0.291,0.014,0.531,-0.026,16.8
stock/VZ,stock,38,396,10.42,0.654,0.101,-0.28,0.36,0.821,0.132,0.179,-0.012,10.1
fut_commodity/COTTON,fut_commodity,2,6,3.0,0.644,0.211,-0.877,0.241,0.665,0.227,0.82,0.14,15.9
fut_equity/NIKKEI,fut_equity,120,354,2.95,0.625,0.162,-0.504,0.321,0.74,0.204,0.326,-0.073,10.9
stock/MMM,stock,20,90,4.5,0.608,0.103,-0.239,0.429,0.78,0.136,0.203,-0.048,10.1
fut_equity/KOSPI,fut_equity,34,54,1.59,0.589,0.094,-0.283,0.331,0.434,0.065,0.178,-0.065,10.1
stock/CVX,stock,108,378,3.5,0.585,0.107,-0.402,0.266,0.513,0.09,0.222,-0.021,10.1
fx_futures/JPY,fx_futures,10,96,9.6,0.578,0.043,-0.264,0.164,-0.219,-0.02,0.078,-0.003,37.9
stock/WMT,stock,96,400,4.17,0.565,0.088,-0.305,0.288,0.668,0.108,0.18,-0.049,10.1
stock/PG,stock,52,198,3.81,0.563,0.075,-0.24,0.312,0.708,0.097,0.159,-0.042,10.1
fut_rates/US10,fut_rates,2,148,74.0,0.562,0.071,-0.223,0.32,0.447,0.052,0.143,0.034,25.7
stock/GS,stock,22,40,1.82,0.552,0.125,-0.404,0.311,0.283,0.041,0.315,-0.081,10.1
stock/MRK,stock,2,328,164.0,0.54,0.089,-0.286,0.311,0.791,0.142,0.215,0.007,10.1
stock/INTC,stock,114,378,3.32,0.537,0.106,-0.475,0.222,0.702,0.151,0.259,-0.065,10.1
etf/GLD,etf,42,160,3.81,0.53,0.074,-0.21,0.355,0.133,0.009,0.163,-0.026,10.1
fut_equity/TOPIX,fut_equity,12,340,28.33,0.51,0.126,-0.573,0.219,0.751,0.228,0.372,-0.037,11.8
fut_commodity/BRENT_W,fut_commodity,30,122,4.07,0.503,-0.426,-1.0,-0.426,0.609,-0.359,1.185,-0.008,27.8
fx_futures/GBP,fx_futures,60,118,1.97,0.499,0.071,-0.438,0.162,0.164,0.014,0.165,0.025,39.5
fx_futures/AUD,fx_futures,108,168,1.56,0.499,0.091,-0.543,0.168,0.213,0.023,0.236,-0.014,30.4
index/^RUT,index,38,364,9.58,0.482,0.078,-0.263,0.295,0.628,0.108,0.22,-0.079,10.1
fx_futures/CLP,fx_futures,34,116,3.41,0.475,0.06,-0.203,0.293,-0.226,-0.043,0.14,0.031,9.3
index_pkg/NDX,index_pkg,12,50,4.17,0.47,0.091,-0.403,0.225,0.249,0.031,0.253,-0.032,20.0
fx_futures/INR,fx_futures,76,140,1.84,0.452,0.027,-0.091,0.295,0.052,0.001,0.062,-0.025,8.4
fut_equity/BOVESPA,fut_equity,14,30,2.14,0.443,0.056,-0.262,0.212,0.043,-0.005,0.145,-0.015,10.9
fut_rates/GILT,fut_rates,26,400,15.38,0.436,0.091,-0.643,0.142,0.469,0.102,0.513,-0.008,30.3
fx_futures/EUR,fx_futures,34,88,2.59,0.428,0.032,-0.208,0.154,0.011,-0.002,0.081,-0.005,24.4
fut_commodity/COPPER,fut_commodity,26,40,1.54,0.424,0.082,-0.537,0.153,0.361,0.063,0.274,-0.052,24.6
index_pkg/SPX,index_pkg,74,146,1.97,0.422,0.064,-0.417,0.154,0.251,0.03,0.191,-0.071,20.0
fut_commodity/GAS_US,fut_commodity,2,118,59.0,0.412,0.062,-0.448,0.138,-0.273,-0.069,0.188,-0.036,33.6
fut_equity/DAX,fut_equity,2,178,89.0,0.411,0.058,-0.35,0.165,0.342,0.045,0.171,-0.016,24.0
stock/CAT,stock,10,166,16.6,0.41,0.078,-0.483,0.162,0.538,0.114,0.308,0.02,10.1
fut_commodity/CORN,fut_commodity,2,104,52.0,0.397,0.055,-0.549,0.101,0.03,-0.01,0.174,0.051,45.9
fut_rates/US20,fut_rates,42,70,1.67,0.393,0.072,-0.542,0.133,0.529,0.105,0.267,0.0,24.8
fx_futures/SGD,fx_futures,4,32,8.0,0.391,0.018,-0.049,0.37,-0.098,-0.006,0.048,-0.078,3.4
fx_futures/ZAR,fx_futures,40,66,1.65,0.383,-0.037,-0.962,-0.038,0.339,-0.066,0.807,-0.033,21.4
fut_equity/HANG,fut_equity,16,32,2.0,0.373,0.018,-0.955,0.019,0.381,0.029,0.686,-0.028,30.0
