pair,mode,markets,first,exposure,st_sharpe,st_cagr,st_dd,st_calmar,st_vol,bh_sharpe,bh_cagr,bh_dd,bh_calmar,bh_vol,bhvt_sharpe,bhvt_cagr,bhvt_dd,bhvt_calmar,vt_sharpe,vt_cagr,vt_dd,vt_calmar,vt_vol,days,bhvt_vol,sharpe_uplift,dd_improvement,vt_dd_improvement
58/160,long,82,1971-02-05,0.9349859082756854,0.6513229381973857,0.08553620753203238,-0.42117845739329274,0.20308780287914732,0.14128181341568796,0.66038087374913,0.10758795871133722,-0.5128432212009003,0.20978722982708764,0.1789597729838065,0.7195389765144254,0.0691541518977042,-0.6349718528700684,0.1089090037379262,0.9202361339589124,0.0849612225495439,-0.24086643777981376,0.35273167707661524,0.09335746490165636,15612,0.09987389159581546,-0.009057935551744278,0.09166476380760757,0.39410541509025465
58/160,ls,82,1971-02-05,,0.3987408802133498,0.05364823406285912,-0.6020502616929707,0.08910922804351883,0.16516631144338953,0.66038087374913,0.10758795871133722,-0.5128432212009003,0.20978722982708764,0.1789597729838065,0.7195389765144254,0.0691541518977042,-0.6349718528700684,0.1089090037379262,0.6518848813841256,0.06120047470963851,-0.40125417328631835,0.15252296121533018,0.09858290318825814,15612,0.09987389159581546,-0.2616399935357802,-0.0892070404920704,0.23371767958375006
60/130,long,82,1970-12-23,0.9334270380782008,0.7064570072718912,0.09379480698007228,-0.4191016761197633,0.22379964654035242,0.14090619799782775,0.6751683166367166,0.11054645434081022,-0.5128432212009003,0.2155560408538674,0.1789876134570922,0.7365692837163413,0.0708969438155136,-0.6332352452619244,0.11195988275445498,0.9726006411959723,0.0902322489958472,-0.21082148930872385,0.42800309063234265,0.09331029152293037,15652,0.09976130395177228,0.03128869063517459,0.09374154508113702,0.4224137559532006
60/130,ls,82,1970-12-23,,0.47192128869885136,0.06667785412098401,-0.5521290042612883,0.12076499080173214,0.16579369925498763,0.6751683166367166,0.11054645434081022,-0.5128432212009003,0.2155560408538674,0.1789876134570922,0.7365692837163413,0.0708969438155136,-0.6332352452619244,0.11195988275445498,0.7096405891232263,0.06715664799579255,-0.31955873247990374,0.21015431959762157,0.09842511180759543,15652,0.09976130395177228,-0.20324702793786525,-0.03928578306038799,0.3136765127820207
50/136,long,82,1971-01-04,0.9330051780349038,0.7289135024826913,0.09734837542694118,-0.4191472852604479,0.23225338407345586,0.1410382834034944,0.6741458175030437,0.11040841485595741,-0.5128432212009003,0.21528687577739516,0.17910410098830357,0.7331303723707732,0.07054005158583872,-0.6313622385695907,0.11172675094673654,0.9978711760372844,0.0929644330850194,-0.2176689289975931,0.42709096568416227,0.0934708798392251,15643,0.09977655074281133,0.05476768497964757,0.09369593594045239,0.4136933095719976
50/136,ls,82,1971-01-04,,0.5103130816950382,0.07368007644773239,-0.5602583210716523,0.1315109007337873,0.16630406067345105,0.6741458175030437,0.11040841485595741,-0.5128432212009003,0.21528687577739516,0.17910410098830357,0.7331303723707732,0.07054005158583872,-0.6313622385695907,0.11172675094673654,0.7575372563172446,0.07224873227247909,-0.30385629695238486,0.2377727004413559,0.0984964411740618,15643,0.09977655074281133,-0.1638327358080055,-0.04741509987075199,0.32750594161720586
40/116,long,82,1970-12-03,0.9322271857051692,0.7419741927663038,0.09811770136324198,-0.4830666283413303,0.20311421987509545,0.13915270020262793,0.6756937102982069,0.11059798546770108,-0.5128432212009003,0.2156565221018601,0.17889352014994384,0.7414845392507261,0.07140243241120385,-0.632887938794635,0.11282002394798858,1.0039731115189787,0.0940180254308503,-0.2339630375520114,0.4018499093471101,0.09390580195087721,15670,0.09973264591603188,0.06628048246809692,0.029776592859570017,0.3989249012426236
40/116,ls,82,1970-12-03,,0.5122588520324685,0.07431041781509586,-0.6108947071282216,0.12164194082548947,0.1671385435118716,0.6756937102982069,0.11059798546770108,-0.5128432212009003,0.2156565221018601,0.17889352014994384,0.7414845392507261,0.07140243241120385,-0.632887938794635,0.11282002394798858,0.7789536443156653,0.07461336764063348,-0.3882019502865739,0.19220245438116235,0.09863563918899378,15670,0.09973264591603188,-0.16343485826573845,-0.09805148592732127,0.24468598850806111
50/200,long,82,1971-04-06,0.9357969151670951,0.6522956292734914,0.08542226639391137,-0.46381752452536595,0.1841721407170325,0.14081450852310623,0.6661822133863412,0.10892352925101842,-0.5128432212009003,0.21239147705990424,0.1792989743116838,0.7135939051091257,0.06862174474902008,-0.636405614370254,0.10782705746071039,0.9171482389663382,0.0846719943232316,-0.3173958626528487,0.26677094532842566,0.09338332021514198,15560,0.10002911566520546,-0.01388658411284982,0.04902569667553436,0.3190097517174053
50/200,ls,82,1971-04-06,,0.393437130225249,0.05228770829326993,-0.7104523764613112,0.07359776675490837,0.1633287363960441,0.6661822133863412,0.10892352925101842,-0.5128432212009003,0.21239147705990424,0.1792989743116838,0.7135939051091257,0.06862174474902008,-0.636405614370254,0.10782705746071039,0.628089701316288,0.05888221389624001,-0.5160501688766636,0.11410172391652276,0.09888361282505465,15560,0.10002911566520546,-0.2727450831610922,-0.1976091552604109,0.12035544549359045
12/26,long,82,1970-07-23,0.9262191260291324,0.6897467081556666,0.08334637907256827,-0.48466136298943036,0.1719682760731763,0.12786878105767996,0.6288495608223809,0.10161222902450592,-0.5209815481711092,0.19503997671551468,0.17946553277092442,0.6785810059342893,0.06454199712861632,-0.6276140548793633,0.10283708057019571,0.8735649301027003,0.08290977172497253,-0.4249403877925341,0.1951091826212834,0.09652039721506725,15790,0.09947190722992474,0.06089714733328577,0.03632018518167884,0.20267366708682916
12/26,ls,82,1970-07-23,,0.37622422977770825,0.05054832929222265,-0.6598183551371374,0.07660946213252377,0.16888152098182344,0.6288495608223809,0.10161222902450592,-0.5209815481711092,0.19503997671551468,0.17946553277092442,0.6785810059342893,0.06454199712861632,-0.6276140548793633,0.10283708057019571,0.6753760454993462,0.06350996208651126,-0.451941827825591,0.14052685141376295,0.09833357123994003,15790,0.09947190722992474,-0.2526253310446726,-0.13883680696602818,0.17567222705377228
32/384,long,81,1972-01-06,0.9390100561577641,0.6374758982128264,0.08347035568782268,-0.4456381419206549,0.187305232285715,0.14140845126032336,0.6771462965651143,0.10645737536267454,-0.49738817298546956,0.2140327839395259,0.17094222125413078,0.6793052074423596,0.0653599332580016,-0.6364056143702524,0.10270169178610679,0.8828158222676162,0.0808651099955892,-0.2739060883000271,0.29522932658222767,0.09299365378099572,15314,0.10067290200240664,-0.03967039835228792,0.05175003106481468,0.36249952607022534
32/384,ls,81,1972-01-06,,0.39140104111046725,0.052269211922501904,-0.6662841725045877,0.0784488272113983,0.16488476048037704,0.6771462965651143,0.10645737536267454,-0.49738817298546956,0.2140327839395259,0.17094222125413078,0.6793052074423596,0.0653599332580016,-0.6364056143702524,0.10270169178610679,0.6464508558169806,0.0607145512135548,-0.3738329709376512,0.16241090522665783,0.09872979441313984,15314,0.10067290200240664,-0.285745255454647,-0.16889599951911816,0.2625726434326012
150/710,long,80,1973-05-01,0.9262195941405725,0.46991772167100726,0.05685568775811196,-0.49738817298546867,0.11430848348654445,0.1379286841596366,0.674919847795402,0.10654109564379283,-0.49738817298546956,0.21420110374619877,0.17183298560343663,0.6624304741237377,0.06382517499790039,-0.6373501199006865,0.10014146542852426,0.6904340476660753,0.061989528641518396,-0.28416672574084584,0.21814492347725314,0.09344443087126318,14882,0.1011295478155542,-0.20500212612439478,8.881784197001252e-16,0.3531833941598406
150/710,ls,80,1973-05-01,,0.08312820871050311,0.0001043856689120325,-0.8528490595204868,0.00012239641674779262,0.16428567087992957,0.674919847795402,0.10654109564379283,-0.49738817298546956,0.21420110374619877,0.17183298560343663,0.6624304741237377,0.06382517499790039,-0.6373501199006865,0.10014146542852426,0.27194718604468393,0.022415780718278308,-0.6159519445150287,0.03639209343827533,0.09987771112067458,14882,0.1011295478155542,-0.591791639084899,-0.3554608865350173,0.021398175385657803
