pair,1970s_long,1970s_n,1970s_ls,1980s_long,1980s_n,1980s_ls,1990s_long,1990s_n,1990s_ls,2000s_long,2000s_n,2000s_ls,2010s_long,2010s_n,2010s_ls,2020s_long,2020s_n,2020s_ls
10/100,0.92,8,1.07,0.43,10,0.59,0.21,20,0.22,0.45,33,0.29,0.32,79,-0.07,0.1,45,0.03
10/20,0.9,8,1.02,0.27,10,0.3,0.04,20,0.15,0.37,33,0.24,0.29,79,-0.14,0.14,45,-0.02
104/374,0.56,8,0.51,0.33,10,0.33,0.09,19,0.03,0.37,32,0.12,0.4,79,0.17,-0.39,45,0.22
104/376,0.55,8,0.52,0.34,10,0.32,0.06,19,0.03,0.35,32,0.12,0.43,79,0.19,-0.42,45,0.18
104/378,0.54,8,0.51,0.33,10,0.28,0.1,19,0.05,0.35,32,0.15,0.41,79,0.19,-0.4,45,0.2
106/378,0.54,8,0.51,0.34,10,0.29,0.13,19,0.06,0.36,32,0.13,0.42,79,0.21,-0.4,45,0.19
116/378,0.5,8,0.43,0.31,10,0.38,0.12,19,0.06,0.35,32,0.12,0.41,79,0.2,-0.39,45,0.22
12/26,0.99,8,0.71,0.27,10,0.44,0.17,20,0.15,0.31,33,0.24,0.29,79,-0.11,0.04,45,-0.08
120/376,0.5,8,0.47,0.31,10,0.41,0.09,19,0.09,0.36,32,0.16,0.41,79,0.21,-0.39,45,0.2
120/380,0.49,8,0.4,0.31,10,0.39,0.1,19,0.08,0.35,32,0.14,0.38,79,0.18,-0.33,45,0.16
120/382,0.5,8,0.4,0.3,10,0.4,0.08,19,0.06,0.34,32,0.1,0.39,79,0.18,-0.32,45,0.16
120/384,0.5,8,0.41,0.28,10,0.4,0.08,19,0.02,0.34,32,0.11,0.37,79,0.15,-0.29,45,0.18
120/386,0.51,8,0.42,0.28,10,0.39,0.08,19,0.01,0.34,32,0.1,0.37,79,0.16,-0.29,45,0.15
120/388,0.51,8,0.44,0.28,10,0.4,0.07,19,0.03,0.34,32,0.1,0.37,79,0.17,-0.29,45,0.19
120/390,0.51,8,0.48,0.3,10,0.39,0.08,19,0.08,0.33,32,0.1,0.35,79,0.15,-0.3,45,0.19
120/392,0.56,7,0.66,0.29,10,0.43,0.07,19,0.03,0.33,32,0.1,0.37,79,0.16,-0.3,45,0.2
120/394,0.53,7,0.62,0.33,9,0.45,0.07,19,0.04,0.33,32,0.09,0.39,79,0.13,-0.3,45,0.2
120/396,0.53,7,0.62,0.33,9,0.42,0.08,19,0.02,0.35,32,0.08,0.37,79,0.15,-0.39,45,0.2
120/398,0.52,7,0.6,0.32,9,0.45,0.06,19,0.0,0.33,32,0.05,0.39,79,0.13,-0.39,45,0.24
120/400,0.52,7,0.64,0.32,9,0.44,0.07,19,-0.01,0.32,32,0.1,0.43,79,0.14,-0.36,45,0.22
13/48,1.04,8,0.99,0.38,10,0.48,0.18,20,0.1,0.36,33,0.22,0.24,79,-0.07,0.01,45,-0.08
20/100,0.82,8,0.92,0.4,10,0.71,0.2,20,0.24,0.38,33,0.22,0.31,79,-0.03,0.02,45,0.08
20/50,1.09,8,0.98,0.44,10,0.48,0.21,20,0.12,0.37,33,0.21,0.24,79,-0.06,-0.01,45,-0.09
21/55,1.09,8,0.93,0.43,10,0.49,0.21,20,0.16,0.32,33,0.23,0.24,79,-0.08,0.06,45,-0.08
5/20,1.03,8,0.94,0.3,10,0.35,0.12,20,-0.04,0.25,33,0.16,0.22,79,-0.25,0.09,45,-0.06
5/35,0.84,8,0.89,0.37,10,0.35,0.14,20,0.14,0.33,33,0.17,0.24,79,-0.2,0.06,45,-0.18
50/138,0.63,8,0.65,0.38,10,0.65,0.18,20,0.11,0.46,33,0.36,0.44,79,0.17,-0.04,45,0.2
50/200,0.19,8,0.74,0.38,10,0.74,0.15,20,0.17,0.53,33,0.34,0.42,79,0.17,-0.05,45,0.17
56/134,0.62,8,0.62,0.38,10,0.64,0.15,20,0.14,0.49,33,0.33,0.45,79,0.17,-0.01,45,0.19
58/132,0.61,8,0.62,0.37,10,0.64,0.14,20,0.16,0.5,33,0.32,0.44,79,0.19,0.03,45,0.17
58/134,0.61,8,0.6,0.38,10,0.65,0.16,20,0.15,0.51,33,0.33,0.44,79,0.16,0.04,45,0.17
60/116,0.63,8,0.59,0.37,10,0.68,0.18,20,0.13,0.51,33,0.43,0.44,79,0.14,-0.0,45,0.15
60/130,0.59,8,0.6,0.39,10,0.68,0.14,20,0.15,0.51,33,0.33,0.43,79,0.18,-0.03,45,0.16
60/132,0.61,8,0.6,0.38,10,0.62,0.14,20,0.14,0.49,33,0.3,0.44,79,0.18,0.06,45,0.2
60/134,0.6,8,0.59,0.38,10,0.63,0.22,20,0.13,0.47,33,0.34,0.42,79,0.18,0.03,45,0.16
62/128,0.58,8,0.62,0.38,10,0.64,0.13,20,0.15,0.47,33,0.37,0.43,79,0.17,-0.0,45,0.19
62/130,0.59,8,0.58,0.38,10,0.63,0.19,20,0.13,0.49,33,0.29,0.45,79,0.18,0.03,45,0.22
62/166,0.62,8,0.64,0.36,10,0.64,0.12,20,0.18,0.48,33,0.3,0.43,79,0.17,0.0,45,0.21
64/128,0.57,8,0.6,0.38,10,0.62,0.2,20,0.15,0.52,33,0.3,0.42,79,0.17,-0.02,45,0.21
64/130,0.57,8,0.59,0.38,10,0.62,0.18,20,0.12,0.5,33,0.29,0.43,79,0.18,-0.0,45,0.2
70/146,0.61,8,0.61,0.37,10,0.62,0.18,20,0.12,0.49,33,0.34,0.44,79,0.21,0.04,45,0.18
76/114,0.52,8,0.59,0.39,10,0.58,0.23,20,0.14,0.48,33,0.32,0.46,79,0.17,-0.04,45,0.13
78/118,0.56,8,0.64,0.4,10,0.62,0.24,20,0.18,0.46,33,0.29,0.44,79,0.18,0.02,45,0.19
8/21,0.94,8,1.07,0.27,10,0.31,0.04,20,0.0,0.3,33,0.25,0.3,79,-0.15,0.18,45,0.0
80/144,0.63,8,0.74,0.47,10,0.71,0.17,20,0.14,0.45,33,0.31,0.48,79,0.21,0.08,45,0.19
84/140,0.6,8,0.74,0.46,10,0.71,0.19,20,0.12,0.46,33,0.26,0.49,79,0.2,0.07,45,0.19
9/21,0.92,8,1.01,0.27,10,0.31,0.06,20,0.14,0.36,33,0.2,0.3,79,-0.14,0.12,45,-0.02
