pair,fast,slow,mode,med_sharpe,med_cagr,hurdle,dsr_literal,dsr_effective,n_markets,n_obs,se_ann
10/20,10,20,long,0.284,0.027,1.21,0.002,0.028,82,2542,0.315
10/20,10,20,ls,0.001,-0.023,1.21,0.0,0.002,82,2542,0.315
10/100,10,100,long,0.371,0.04,1.229,0.004,0.049,82,2462,0.32
10/100,10,100,ls,0.101,-0.003,1.229,0.0,0.006,82,2462,0.32
12/26,12,26,long,0.319,0.028,1.211,0.002,0.036,82,2536,0.315
12/26,12,26,ls,0.057,-0.012,1.211,0.0,0.004,82,2536,0.315
20/50,20,50,long,0.356,0.031,1.217,0.003,0.046,82,2512,0.317
20/50,20,50,ls,0.065,-0.008,1.217,0.0,0.005,82,2512,0.317
20/100,20,100,long,0.387,0.043,1.229,0.004,0.054,82,2462,0.32
20/100,20,100,ls,0.128,-0.002,1.229,0.0,0.008,82,2462,0.32
50/138,50,138,long,0.446,0.047,1.239,0.007,0.076,82,2424,0.323
50/138,50,138,ls,0.221,0.013,1.239,0.001,0.017,82,2424,0.323
50/200,50,200,long,0.401,0.048,1.255,0.004,0.056,82,2362,0.327
50/200,50,200,ls,0.194,0.014,1.255,0.001,0.013,82,2362,0.327
56/134,56,134,long,0.436,0.045,1.238,0.006,0.072,82,2428,0.322
56/134,56,134,ls,0.226,0.015,1.238,0.001,0.017,82,2428,0.322
58/132,58,132,long,0.43,0.046,1.238,0.006,0.07,82,2430,0.322
58/132,58,132,ls,0.228,0.016,1.238,0.001,0.018,82,2430,0.322
58/134,58,134,long,0.415,0.046,1.238,0.005,0.064,82,2428,0.322
58/134,58,134,ls,0.225,0.016,1.238,0.001,0.017,82,2428,0.322
60/116,60,116,long,0.447,0.045,1.233,0.007,0.078,82,2446,0.321
60/116,60,116,ls,0.216,0.014,1.233,0.001,0.016,82,2446,0.321
60/130,60,130,long,0.432,0.046,1.237,0.006,0.07,82,2432,0.322
60/130,60,130,ls,0.214,0.015,1.237,0.001,0.016,82,2432,0.322
60/132,60,132,long,0.431,0.047,1.238,0.006,0.07,82,2430,0.322
60/132,60,132,ls,0.228,0.016,1.238,0.001,0.018,82,2430,0.322
60/134,60,134,long,0.432,0.047,1.238,0.006,0.07,82,2428,0.322
60/134,60,134,ls,0.226,0.018,1.238,0.001,0.017,82,2428,0.322
62/128,62,128,long,0.43,0.047,1.237,0.006,0.07,82,2434,0.322
62/128,62,128,ls,0.221,0.016,1.237,0.001,0.017,82,2434,0.322
62/130,62,130,long,0.433,0.046,1.237,0.006,0.071,82,2432,0.322
62/130,62,130,ls,0.234,0.018,1.237,0.001,0.019,82,2432,0.322
62/166,62,166,long,0.445,0.046,1.246,0.007,0.075,82,2396,0.324
62/166,62,166,ls,0.224,0.016,1.246,0.001,0.017,82,2396,0.324
64/128,64,128,long,0.427,0.047,1.237,0.006,0.069,82,2434,0.322
64/128,64,128,ls,0.228,0.017,1.237,0.001,0.018,82,2434,0.322
64/130,64,130,long,0.428,0.048,1.237,0.006,0.069,82,2432,0.322
64/130,64,130,ls,0.219,0.018,1.237,0.001,0.016,82,2432,0.322
70/146,70,146,long,0.445,0.047,1.241,0.007,0.076,82,2416,0.323
70/146,70,146,ls,0.229,0.018,1.241,0.001,0.018,82,2416,0.323
76/114,76,114,long,0.431,0.046,1.233,0.006,0.071,82,2448,0.321
76/114,76,114,ls,0.218,0.017,1.233,0.001,0.016,82,2448,0.321
78/118,78,118,long,0.435,0.05,1.234,0.006,0.072,82,2444,0.321
78/118,78,118,ls,0.238,0.017,1.234,0.001,0.019,82,2444,0.321
80/144,80,144,long,0.455,0.048,1.241,0.008,0.08,82,2418,0.323
80/144,80,144,ls,0.227,0.015,1.241,0.001,0.017,82,2418,0.323
84/140,84,140,long,0.445,0.048,1.24,0.007,0.076,82,2422,0.323
84/140,84,140,ls,0.202,0.012,1.24,0.001,0.014,82,2422,0.323
104/374,104,374,long,0.422,0.042,1.304,0.005,0.058,82,2188,0.34
104/374,104,374,ls,0.278,0.023,1.304,0.001,0.023,82,2188,0.339
104/376,104,376,long,0.427,0.045,1.305,0.005,0.06,82,2186,0.34
104/376,104,376,ls,0.276,0.026,1.305,0.001,0.023,82,2186,0.34
104/378,104,378,long,0.429,0.046,1.305,0.005,0.061,82,2184,0.34
104/378,104,378,ls,0.277,0.026,1.305,0.001,0.023,82,2184,0.34
106/378,106,378,long,0.426,0.045,1.305,0.005,0.06,82,2184,0.34
106/378,106,378,ls,0.279,0.026,1.305,0.001,0.023,82,2184,0.34
116/378,116,378,long,0.414,0.041,1.305,0.004,0.055,82,2184,0.34
116/378,116,378,ls,0.281,0.029,1.305,0.001,0.024,82,2184,0.34
120/376,120,376,long,0.414,0.045,1.305,0.004,0.056,82,2186,0.34
120/376,120,376,ls,0.276,0.025,1.305,0.001,0.023,82,2186,0.34
120/380,120,380,long,0.406,0.043,1.306,0.004,0.053,82,2182,0.34
120/380,120,380,ls,0.27,0.025,1.306,0.001,0.022,82,2182,0.34
120/382,120,382,long,0.402,0.043,1.307,0.004,0.052,82,2180,0.34
120/382,120,382,ls,0.256,0.024,1.307,0.001,0.02,82,2180,0.34
120/384,120,384,long,0.399,0.042,1.307,0.004,0.051,82,2178,0.34
120/384,120,384,ls,0.266,0.025,1.307,0.001,0.021,82,2178,0.34
120/386,120,386,long,0.397,0.041,1.308,0.004,0.05,82,2176,0.34
120/386,120,386,ls,0.262,0.025,1.308,0.001,0.021,82,2176,0.34
120/388,120,388,long,0.406,0.04,1.308,0.004,0.053,82,2174,0.341
120/388,120,388,ls,0.259,0.026,1.308,0.001,0.02,82,2174,0.341
120/390,120,390,long,0.411,0.04,1.309,0.004,0.054,82,2172,0.341
120/390,120,390,ls,0.264,0.024,1.309,0.001,0.021,82,2172,0.341
120/392,120,392,long,0.407,0.04,1.31,0.004,0.053,82,2170,0.341
120/392,120,392,ls,0.258,0.023,1.31,0.001,0.02,82,2170,0.341
120/394,120,394,long,0.401,0.04,1.31,0.004,0.051,82,2168,0.341
120/394,120,394,ls,0.259,0.024,1.31,0.001,0.02,82,2168,0.341
120/396,120,396,long,0.4,0.04,1.311,0.004,0.05,82,2166,0.341
120/396,120,396,ls,0.268,0.024,1.311,0.001,0.021,82,2166,0.341
120/398,120,398,long,0.398,0.04,1.311,0.004,0.05,82,2164,0.341
120/398,120,398,ls,0.269,0.024,1.311,0.001,0.021,82,2164,0.341
120/400,120,400,long,0.401,0.038,1.312,0.004,0.051,82,2162,0.342
120/400,120,400,ls,0.259,0.024,1.312,0.001,0.02,82,2162,0.342
