pair,markets,med_sharpe_close_exec,med_sharpe_next_open,med_sharpe_no_cost,open_minus_close
120/396,39,0.603,0.632,0.607,0.029
120/398,39,0.589,0.615,0.594,0.025
120/394,39,0.573,0.614,0.577,0.042
120/392,39,0.581,0.589,0.585,0.008
106/378,39,0.575,0.586,0.579,0.011
120/376,39,0.615,0.586,0.62,-0.029
120/390,39,0.547,0.582,0.551,0.035
120/388,39,0.536,0.58,0.54,0.044
120/386,39,0.538,0.575,0.543,0.036
116/378,39,0.575,0.572,0.579,-0.002
120/400,39,0.572,0.572,0.576,-0.0
104/378,39,0.543,0.568,0.547,0.025
120/384,39,0.534,0.567,0.539,0.033
104/376,39,0.546,0.562,0.548,0.016
120/382,39,0.534,0.552,0.539,0.018
104/374,39,0.528,0.536,0.531,0.007
120/380,39,0.515,0.534,0.517,0.02
78/118,39,0.333,0.354,0.348,0.021
70/146,39,0.341,0.346,0.351,0.005
62/166,39,0.305,0.339,0.314,0.034
64/130,39,0.315,0.33,0.324,0.015
84/140,39,0.304,0.314,0.312,0.01
76/114,39,0.271,0.314,0.299,0.043
56/134,39,0.305,0.307,0.316,0.003
60/116,39,0.27,0.303,0.278,0.033
60/130,39,0.272,0.303,0.29,0.031
50/200,39,0.286,0.302,0.293,0.016
80/144,39,0.291,0.301,0.296,0.01
62/130,39,0.268,0.3,0.291,0.031
58/132,39,0.299,0.297,0.317,-0.002
64/128,39,0.284,0.296,0.295,0.012
60/134,39,0.285,0.295,0.292,0.01
62/128,39,0.27,0.288,0.298,0.018
60/132,39,0.271,0.286,0.292,0.015
58/134,39,0.275,0.284,0.29,0.009
50/138,39,0.278,0.275,0.299,-0.004
20/100,39,0.048,0.078,0.098,0.03
10/100,39,0.029,0.05,0.1,0.022
21/55,39,0.019,0.037,0.07,0.019
20/50,39,0.007,0.029,0.054,0.022
13/48,39,-0.002,0.019,0.051,0.02
12/26,39,-0.051,-0.037,0.008,0.014
9/21,39,-0.162,-0.15,-0.049,0.012
8/21,39,-0.154,-0.151,-0.061,0.003
10/20,39,-0.145,-0.152,-0.066,-0.007
5/35,39,-0.11,-0.154,-0.032,-0.044
5/20,39,-0.234,-0.208,-0.062,0.026
