slow,med_sharpe_top_fast,best_fast,nb_min
6,0.0948,2,0.0948
10,0.237,6,0.0948
14,0.3269,10,0.237
18,0.3069,10,0.2886
22,0.3265,18,0.3047
26,0.3234,18,0.3047
30,0.3648,22,0.3234
34,0.3686,22,0.3493
38,0.3781,30,0.3494
42,0.3995,30,0.3583
46,0.3965,26,0.3593
50,0.3902,26,0.3593
54,0.3961,42,0.371
58,0.3996,42,0.3761
62,0.4043,38,0.3761
66,0.4008,30,0.3797
70,0.4214,58,0.3871
74,0.4322,58,0.3819
78,0.4195,54,0.3819
82,0.4214,50,0.3825
86,0.4051,50,0.3844
90,0.4158,46,0.3893
94,0.4188,78,0.4028
98,0.4339,42,0.4028
102,0.4241,82,0.4188
106,0.4256,66,0.4209
110,0.4341,66,0.416
114,0.4429,90,0.4144
118,0.4432,82,0.4144
122,0.4407,98,0.4144
126,0.438,94,0.4143
130,0.4542,94,0.4153
134,0.441,110,0.4138
138,0.446,50,0.4138
142,0.4428,82,0.4138
146,0.4454,70,0.4138
150,0.4307,46,0.4138
154,0.4358,74,0.4138
158,0.4335,74,0.413
162,0.4371,62,0.4018
166,0.4449,62,0.3952
170,0.4293,46,0.3952
174,0.4251,62,0.3952
178,0.429,54,0.3948
182,0.4146,106,0.3905
186,0.4198,102,0.3888
190,0.4346,50,0.3888
194,0.4085,54,0.3888
198,0.404,94,0.3888
202,0.4051,142,0.3888
206,0.4235,50,0.3835
210,0.4166,130,0.3835
214,0.4154,22,0.3801
218,0.4138,130,0.383
222,0.4041,46,0.3872
226,0.4022,42,0.3823
230,0.4054,66,0.386
234,0.413,194,0.386
238,0.4187,194,0.386
242,0.4185,190,0.386
246,0.418,182,0.39
250,0.4133,178,0.3924
254,0.4182,178,0.3953
258,0.4143,174,0.3953
262,0.4172,170,0.3953
266,0.429,166,0.3953
270,0.4252,166,0.401
274,0.4192,162,0.401
278,0.4278,158,0.3972
282,0.4212,158,0.3972
286,0.4252,158,0.388
290,0.4155,154,0.388
