pair,label,fast,slow,mode,med_sharpe,share_pos,share_beat_bh,med_cagr,med_dd,med_calmar,nb_min_sharpe,rank_raw,rank_robust
60/132,study top-3 robust,60,132,long,0.431,0.939,0.402,0.047,-0.329,0.15,0.414,209,2
62/130,study top-3 robust,62,130,long,0.433,0.939,0.427,0.046,-0.324,0.153,0.414,138,2
62/128,study top-3 robust,62,128,long,0.43,0.939,0.415,0.047,-0.335,0.146,0.414,235,2
80/144,study top-3 robust,80,144,long,0.455,0.902,0.366,0.048,-0.323,0.158,0.403,1,239
50/200,50/200,50,200,long,0.401,0.915,0.378,0.048,-0.33,0.145,0.383,2219,1056
60/116,study top-3 robust,60,116,long,0.447,0.963,0.427,0.045,-0.32,0.158,0.382,2,1256
20/100,20/100,20,100,long,0.387,0.927,0.378,0.043,-0.361,0.123,0.36,4490,4709
10/100,10/100,10,100,long,0.371,0.915,0.402,0.04,-0.344,0.119,0.328,6870,8692
20/50,20/50,20,50,long,0.356,0.902,0.402,0.031,-0.321,0.102,0.323,8410,8768
12/26,12/26 MACD,12,26,long,0.319,0.89,0.366,0.028,-0.348,0.089,0.26,9177,9215
10/20,10/20,10,20,long,0.284,0.915,0.378,0.027,-0.365,0.079,0.226,9262,9250
120/398,study top-3 robust,120,398,ls,0.269,0.732,0.305,0.024,-0.482,0.052,0.252,62,4
120/400,study top-3 robust,120,400,ls,0.259,0.72,0.256,0.024,-0.483,0.049,0.252,188,4
120/394,study top-3 robust,120,394,ls,0.259,0.732,0.305,0.024,-0.491,0.045,0.252,185,4
116/378,study top-3 robust,116,378,ls,0.281,0.72,0.341,0.029,-0.499,0.053,0.246,1,25
106/378,study top-3 robust,106,378,ls,0.279,0.744,0.329,0.026,-0.473,0.059,0.224,2,297
50/200,50/200,50,200,ls,0.194,0.829,0.293,0.014,-0.487,0.036,0.177,6992,6189
20/100,20/100,20,100,ls,0.128,0.732,0.244,-0.002,-0.546,-0.007,0.095,8611,8484
10/100,10/100,10,100,ls,0.101,0.646,0.207,-0.003,-0.539,-0.007,0.041,8805,8838
20/50,20/50,20,50,ls,0.065,0.622,0.232,-0.008,-0.568,-0.019,0.015,8977,8993
12/26,12/26 MACD,12,26,ls,0.057,0.573,0.195,-0.012,-0.568,-0.029,-0.086,9011,9210
10/20,10/20,10,20,ls,0.001,0.512,0.22,-0.023,-0.605,-0.054,-0.139,9219,9240
