fast,best_slow_robust,nb_min_robust,med_sharpe_robust,share_pos_robust,best_slow_raw,med_sharpe_raw,trades_yr,worst_slow_on_surface,med_sharpe_worst
8,160,0.369,0.389,0.915,144,0.413,4.24,12,0.26
10,134,0.379,0.405,0.927,122,0.417,4.25,20,0.284
12,132,0.375,0.424,0.915,122,0.433,3.84,18,0.295
20,114,0.377,0.391,0.927,148,0.42,2.61,42,0.348
30,132,0.381,0.413,0.951,118,0.425,2.37,238,0.352
40,162,0.389,0.418,0.939,102,0.426,2.26,254,0.346
50,152,0.407,0.411,0.939,138,0.446,1.66,322,0.35
60,132,0.414,0.431,0.939,116,0.447,1.66,342,0.354
80,120,0.409,0.437,0.927,144,0.455,1.23,316,0.353
100,390,0.392,0.425,0.854,150,0.431,1.08,302,0.328
120,364,0.403,0.408,0.854,372,0.426,0.58,300,0.337
