slow,best_fast_robust,nb_min_robust,med_sharpe_robust,best_fast_raw,med_sharpe_raw,share_pos_robust,trades_yr
20,12,0.26,0.305,8,0.32,0.902,12.44
26,16,0.295,0.332,16,0.332,0.866,7.88
30,20,0.303,0.353,20,0.353,0.854,6.3
50,32,0.353,0.382,24,0.404,0.939,4.48
60,40,0.367,0.402,40,0.402,0.927,3.13
100,62,0.385,0.409,38,0.436,0.951,2.32
120,76,0.41,0.435,80,0.437,0.902,1.39
150,54,0.409,0.43,96,0.435,0.939,1.15
200,102,0.383,0.398,94,0.409,0.927,0.96
210,50,0.38,0.414,48,0.423,0.915,1.29
250,112,0.364,0.387,88,0.399,0.878,0.87
300,24,0.366,0.379,28,0.389,0.927,1.34
380,108,0.397,0.42,62,0.432,0.866,0.81
400,108,0.397,0.42,110,0.428,0.866,0.62
