asset,pair,mode,sharpe,cagr,max_dd,calmar,trades,years
index/^GSPC,5/35,long,0.47,0.047,-0.199,0.234,113.0,10.1
index/^GSPC,5/35,ls,-0.264,-0.054,-0.522,-0.104,56.5,10.1
index/^GSPC,9/21,long,0.426,0.041,-0.191,0.217,121.0,10.1
index/^GSPC,9/21,ls,-0.255,-0.054,-0.597,-0.09,60.5,10.1
index/^GSPC,10/20,long,0.496,0.049,-0.175,0.282,111.0,10.1
index/^GSPC,10/20,ls,-0.16,-0.039,-0.531,-0.073,55.5,10.1
index/^GSPC,12/26,long,0.563,0.056,-0.183,0.309,81.0,10.1
index/^GSPC,12/26,ls,-0.051,-0.021,-0.478,-0.045,40.5,10.1
index/^GSPC,20/50,long,0.667,0.074,-0.221,0.334,41.0,10.1
index/^GSPC,20/50,ls,0.072,-0.001,-0.348,-0.003,20.5,10.1
index/^GSPC,21/55,long,0.697,0.077,-0.208,0.371,37.0,10.1
index/^GSPC,21/55,ls,0.173,0.015,-0.345,0.043,18.5,10.1
index/^GSPC,32/384,long,0.575,0.071,-0.23,0.308,8.0,10.1
index/^GSPC,32/384,ls,0.246,0.026,-0.312,0.082,4.0,10.1
index/^GSPC,50/200,long,0.53,0.062,-0.215,0.289,11.0,10.1
index/^GSPC,50/200,ls,0.169,0.014,-0.353,0.04,5.5,10.1
index/^GSPC,58/134,long,0.597,0.069,-0.202,0.34,9.0,10.1
index/^GSPC,58/134,ls,0.153,0.012,-0.38,0.031,4.5,10.1
index/^GSPC,60/130,long,0.644,0.075,-0.203,0.371,9.0,10.1
index/^GSPC,60/130,ls,0.197,0.018,-0.373,0.05,4.5,10.1
index/^GSPC,60/132,long,0.62,0.072,-0.211,0.342,9.0,10.1
index/^GSPC,60/132,ls,0.17,0.014,-0.373,0.038,4.5,10.1
index/^GSPC,62/128,long,0.637,0.074,-0.211,0.353,9.0,10.1
index/^GSPC,62/128,ls,0.185,0.017,-0.373,0.045,4.5,10.1
index/^GSPC,62/130,long,0.663,0.078,-0.181,0.433,9.0,10.1
index/^GSPC,62/130,ls,0.234,0.024,-0.375,0.065,4.5,10.1
index/^GSPC,78/118,long,0.691,0.083,-0.182,0.456,9.0,10.1
index/^GSPC,78/118,ls,0.302,0.035,-0.336,0.104,4.5,10.1
index/^GSPC,80/144,long,0.6,0.072,-0.184,0.394,9.0,10.1
index/^GSPC,80/144,ls,0.236,0.024,-0.3,0.081,4.5,10.1
index/^GSPC,100/300,long,0.61,0.082,-0.211,0.389,4.0,10.1
index/^GSPC,100/300,ls,0.455,0.059,-0.269,0.218,2.0,10.1
index/^GSPC,116/378,long,0.802,0.112,-0.198,0.566,2.0,10.1
index/^GSPC,116/378,ls,0.725,0.1,-0.217,0.462,1.0,10.1
index/^GSPC,120/398,long,0.786,0.109,-0.198,0.552,2.0,10.1
index/^GSPC,120/398,ls,0.766,0.106,-0.198,0.537,1.0,10.1
index/^GSPC,200/400,long,0.802,0.112,-0.198,0.567,0.0,10.1
index/^GSPC,200/400,ls,0.802,0.112,-0.198,0.567,0.0,10.1
index/^GSPC,buy & hold,-,0.802,0.112,-0.198,0.567,,10.1
index/^IXIC,5/35,long,0.762,0.092,-0.189,0.487,95.0,10.1
index/^IXIC,5/35,ls,0.035,-0.01,-0.437,-0.023,47.5,10.1
index/^IXIC,9/21,long,0.719,0.086,-0.165,0.524,101.0,10.1
index/^IXIC,9/21,ls,0.019,-0.013,-0.386,-0.034,50.5,10.1
index/^IXIC,10/20,long,0.738,0.088,-0.153,0.579,99.0,10.1
index/^IXIC,10/20,ls,0.034,-0.011,-0.4,-0.026,49.5,10.1
index/^IXIC,12/26,long,0.735,0.087,-0.229,0.382,79.0,10.1
index/^IXIC,12/26,ls,0.063,-0.005,-0.433,-0.012,39.5,10.1
index/^IXIC,20/50,long,0.671,0.084,-0.266,0.314,47.0,10.1
index/^IXIC,20/50,ls,-0.039,-0.023,-0.544,-0.042,23.5,10.1
index/^IXIC,21/55,long,0.645,0.081,-0.261,0.308,41.0,10.1
index/^IXIC,21/55,ls,-0.009,-0.017,-0.542,-0.032,20.5,10.1
