history,asset,bars,disagree_bars,scored_bars,disagree_pct,max_ema_gap_bp,sharpe_study,sharpe_mt4,sharpe_gap,flips_study,flips_mt4,cagr_study,cagr_mt4
full history,crypto/BTC_14_19,1665,0,1401,0.0,3.9493,1.9335,1.9335,0.0,5,5,1.9505,1.9505
full history,crypto/BTC_20_26,2279,0,2015,0.0,0.1896,1.1034,1.1034,0.0,12,12,0.5025,0.5025
full history,crypto/ETH_24_25,714,1,450,0.2222,30.1468,0.0543,0.0403,-0.014,4,4,-0.0926,-0.0989
full history,etf/GLD,2553,0,2289,0.0,5.4311,0.37,0.37,0.0,15,15,0.0357,0.0357
full history,etf/QQQ,2553,0,2289,0.0,0.3657,0.7373,0.7373,0.0,10,10,0.1104,0.1104
full history,etf/SHY,2553,0,2289,0.0,0.2466,0.7401,0.7401,0.0,11,11,0.006,0.006
full history,etf/SPY,2553,3,2289,0.1311,2.2746,0.6448,0.6547,0.0099,12,12,0.0756,0.077
full history,fut_commodity/BRENT_W,8563,5,8299,0.0602,21.0874,0.4506,0.4707,0.0202,59,59,0.1095,0.1207
full history,fut_commodity/COPPER,7622,0,7358,0.0,2.3243,0.3355,0.3355,0.0,59,59,0.0461,0.0461
full history,fut_commodity/CORN,12999,0,12735,0.0,0.6187,0.057,0.057,0.0,90,90,-0.0,-0.0
full history,fut_commodity/COTTON,4012,1,3748,0.0267,13.3597,0.4307,0.4227,-0.008,23,23,0.0915,0.0887
full history,fut_commodity/CRUDE_W,5204,0,4940,0.0,8.4866,0.3012,0.3012,0.0,35,35,0.0456,0.0456
full history,fut_commodity/GAS_US,8439,4,8175,0.0489,1.2022,0.011,0.0107,-0.0003,52,52,-0.006,-0.0061
full history,fut_commodity/GOLD,12379,1,12115,0.0083,0.1515,0.2183,0.2189,0.0006,67,67,0.015,0.015
full history,fut_commodity/SILVER,14210,1,13946,0.0072,0.9504,0.0656,0.0656,-0.0,103,103,-0.0004,-0.0004
full history,fut_commodity/SOYBEAN,7123,1,6859,0.0146,27.2012,0.1264,0.1247,-0.0017,56,56,-0.1558,-0.1568
full history,fut_commodity/WHEAT,12651,3,12387,0.0242,2.7387,0.1663,0.1638,-0.0025,62,60,0.0113,0.011
full history,fut_equity/BOVESPA,2625,2,2361,0.0847,6.1872,-0.1359,-0.13,0.0058,15,15,-0.0198,-0.0192
full history,fut_equity/CAC,3838,4,3574,0.1119,4.0336,0.1831,0.1991,0.016,25,27,0.0169,0.02
full history,fut_equity/DAX,6105,0,5841,0.0,4.4562,0.3435,0.3435,0.0,25,25,0.0336,0.0336
full history,fut_equity/EUROSTX200-LARGE,2573,0,2309,0.0,5.4924,0.082,0.082,0.0,21,21,0.0008,0.0008
full history,fut_equity/FTSE100,10054,0,9790,0.0,1.5289,0.1947,0.1947,0.0,65,65,0.0183,0.0183
full history,fut_equity/HANG,7420,1,7156,0.014,15.2133,0.3934,0.3804,-0.013,42,42,0.0802,0.0749
full history,fut_equity/IBEX,6815,0,6551,0.0,1.7466,0.3429,0.3429,0.0,37,37,0.0571,0.0571
full history,fut_equity/KOSPI,2495,0,2231,0.0,0.4247,0.3797,0.3797,0.0,13,13,0.0396,0.0396
full history,fut_equity/NIKKEI,3271,2,3007,0.0665,7.826,0.6662,0.6748,0.0086,21,21,0.1367,0.1389
full history,fut_equity/TOPIX,3587,3,3323,0.0903,14.0465,0.5757,0.5817,0.006,21,21,0.1117,0.1131
full history,fut_rates/BOBL,4141,0,3877,0.0,2.6534,0.693,0.693,0.0,15,15,0.0182,0.0182
full history,fut_rates/BUND,4299,0,4035,0.0,0.0887,0.6816,0.6816,0.0,25,25,0.0487,0.0487
full history,fut_rates/GILT,7669,4,7405,0.054,10.9421,0.5063,0.5137,0.0074,47,47,0.0948,0.0952
full history,fut_rates/JGB,5596,0,5332,0.0,1.396,0.1511,0.1511,0.0,39,39,0.0039,0.0039
full history,fut_rates/OAT,2784,0,2520,0.0,1.9691,0.6699,0.6699,0.0,13,13,0.0306,0.0306
full history,fut_rates/US10,8027,0,7763,0.0,2.412,0.4867,0.4867,0.0,50,50,0.0445,0.0445
full history,fut_rates/US20,7752,1,7488,0.0134,6.836,0.43,0.4295,-0.0005,46,46,0.0611,0.061
full history,fx_futures/AUD,9338,0,9074,0.0,3.7639,0.3363,0.3363,0.0,60,60,0.0386,0.0386
full history,fx_futures/CAD,13744,0,13480,0.0,2.1754,0.2033,0.2033,0.0,90,90,0.0092,0.0092
full history,fx_futures/CHF,13715,2,13451,0.0149,0.0901,0.1014,0.1012,-0.0003,86,86,0.004,0.004
full history,fx_futures/CLP,2339,0,2075,0.0,2.6895,0.0577,0.0577,0.0,8,8,0.0014,0.0014
full history,fx_futures/CNH,2828,1,2564,0.039,0.2037,0.0054,0.0066,0.0012,17,17,-0.0006,-0.0005
full history,fx_futures/CZK,4917,1,4653,0.0215,9.6056,0.1626,0.1647,0.0021,26,26,0.009,0.0092
