pair,mode,asset_class,markets,med_sharpe,share_pos,med_cagr,med_dd,med_calmar,med_bh_sharpe,beat_bh
10/20,long,crypto,3,1.125,1.0,0.466,-0.622,0.75,0.559,0.667
10/20,long,etf,4,0.402,0.75,0.04,-0.174,0.199,0.886,0.25
10/20,long,fut_commodity,10,0.162,0.9,0.009,-0.66,0.016,0.228,0.6
10/20,long,fut_equity,10,0.313,1.0,0.036,-0.561,0.088,0.408,0.3
10/20,long,fut_rates,7,0.228,1.0,0.013,-0.227,0.059,0.469,0.286
10/20,long,fx_futures,16,0.116,0.75,0.004,-0.394,0.011,0.018,0.688
10/20,long,index,4,0.522,1.0,0.05,-0.169,0.293,0.81,0.0
10/20,long,index_pkg,2,0.264,1.0,0.031,-0.331,0.106,0.25,0.5
10/20,long,stock,26,0.382,0.962,0.046,-0.3,0.184,0.744,0.192
10/20,ls,crypto,3,0.693,1.0,0.269,-0.768,0.326,0.559,0.333
10/20,ls,etf,4,-0.172,0.25,-0.027,-0.495,-0.077,0.886,0.0
10/20,ls,fut_commodity,10,0.143,0.9,-0.002,-0.733,-0.001,0.228,0.4
10/20,ls,fut_equity,10,0.06,0.6,-0.063,-0.868,-0.072,0.408,0.1
10/20,ls,fut_rates,7,-0.228,0.429,-0.01,-0.314,-0.042,0.469,0.143
10/20,ls,fx_futures,16,0.015,0.562,-0.003,-0.542,-0.013,0.018,0.5
10/20,ls,index,4,-0.142,0.25,-0.035,-0.502,-0.07,0.81,0.0
10/20,ls,index_pkg,2,0.011,0.5,-0.014,-0.601,-0.007,0.25,0.5
10/20,ls,stock,26,-0.212,0.346,-0.06,-0.62,-0.105,0.744,0.077
12/26,long,crypto,3,1.068,1.0,0.437,-0.583,0.741,0.559,1.0
12/26,long,etf,4,0.42,0.75,0.041,-0.222,0.183,0.886,0.25
12/26,long,fut_commodity,10,0.157,0.9,0.008,-0.625,0.017,0.228,0.5
12/26,long,fut_equity,10,0.293,0.9,0.029,-0.545,0.081,0.408,0.2
12/26,long,fut_rates,7,0.286,1.0,0.013,-0.221,0.097,0.469,0.286
12/26,long,fx_futures,16,0.095,0.688,0.002,-0.379,0.003,0.018,0.75
12/26,long,index,4,0.553,1.0,0.054,-0.186,0.307,0.81,0.0
12/26,long,index_pkg,2,0.271,1.0,0.031,-0.38,0.08,0.25,0.5
12/26,long,stock,26,0.449,0.962,0.063,-0.296,0.217,0.744,0.154
12/26,ls,crypto,3,0.638,1.0,0.227,-0.717,0.344,0.559,0.333
12/26,ls,etf,4,-0.134,0.25,-0.023,-0.482,-0.066,0.886,0.0
12/26,ls,fut_commodity,10,0.177,0.9,0.003,-0.757,0.005,0.228,0.5
12/26,ls,fut_equity,10,0.075,0.7,-0.04,-0.809,-0.05,0.408,0.1
12/26,ls,fut_rates,7,-0.12,0.429,-0.005,-0.371,-0.023,0.469,0.0
12/26,ls,fx_futures,16,0.04,0.562,-0.003,-0.56,-0.006,0.018,0.562
12/26,ls,index,4,-0.079,0.25,-0.025,-0.482,-0.051,0.81,0.0
12/26,ls,index_pkg,2,0.007,0.5,-0.017,-0.622,-0.022,0.25,0.0
12/26,ls,stock,26,-0.031,0.5,-0.039,-0.536,-0.064,0.744,0.0
20/50,long,crypto,3,1.032,1.0,0.423,-0.494,0.857,0.559,0.667
20/50,long,etf,4,0.487,0.75,0.059,-0.222,0.224,0.886,0.25
