asset,asset_class,fast,slow,ann_vol,lag1_autocorr,slow_x_vol,slow_over_fast,months_slow,sharpe
stock/PFE,stock,120,400,0.2009,-0.0265,80.364,3.33,19.05,0.87
fut_rates/BUND,fut_rates,116,400,0.0905,-0.0091,36.213,3.45,22.75,0.885
stock/VZ,stock,38,396,0.1791,-0.0117,70.913,10.42,18.86,0.776
stock/JNJ,stock,88,390,0.1516,-0.018,59.137,4.43,18.57,0.958
stock/HD,stock,46,388,0.2205,0.0063,85.537,8.43,18.48,1.375
stock/MSFT,stock,120,382,0.2483,-0.058,94.853,3.18,18.19,0.993
etf/QQQ,etf,40,378,0.184,-0.0321,69.533,9.45,18.0,1.098
index/^IXIC,index,92,378,0.1863,-0.0491,70.426,4.11,18.0,0.962
etf/SPY,etf,86,378,0.1646,-0.0548,62.201,4.4,18.0,1.01
stock/UNH,stock,8,378,0.2661,-0.0233,100.578,47.25,18.0,1.353
fut_equity/TOPIX,fut_equity,8,378,0.372,-0.0371,140.628,47.25,21.71,0.683
stock/CVX,stock,108,378,0.2217,-0.0206,83.801,3.5,18.0,0.702
index/^DJI,index,116,378,0.1553,-0.0622,58.708,3.26,18.0,0.841
stock/WMT,stock,102,378,0.1804,-0.0492,68.21,3.71,18.0,0.712
index/^GSPC,index,74,378,0.1663,-0.0658,62.846,5.11,18.0,0.825
stock/GE,stock,86,378,0.2964,0.0423,112.057,4.4,18.0,0.598
stock/MCD,stock,64,376,0.1646,-0.0688,61.875,5.88,17.9,1.033
fut_equity/NIKKEI,fut_equity,120,354,0.3265,-0.0733,115.586,2.95,20.07,0.768
stock/KO,stock,108,352,0.158,-0.0324,55.606,3.26,16.76,0.796
fut_equity/CAC,fut_equity,8,352,0.2755,-0.0314,96.961,44.0,17.09,0.425
stock/MRK,stock,2,348,0.215,0.0074,74.812,174.0,16.57,0.802
fut_rates/GILT,fut_rates,120,336,0.513,-0.0079,172.364,2.8,16.06,0.464
fut_rates/OAT,fut_rates,114,332,0.0678,-0.0156,22.512,2.91,15.68,0.87
stock/XOM,stock,14,322,0.1945,-0.0319,62.616,23.0,15.33,0.302
fut_rates/BOBL,fut_rates,120,320,0.0377,0.0008,12.066,2.67,15.48,0.905
fut_commodity/WHEAT,fut_commodity,8,310,0.138,-0.0054,42.775,38.75,14.76,0.208
etf/SHY,etf,70,252,0.0101,-0.0964,2.54,3.6,12.0,0.999
fut_commodity/GOLD,fut_commodity,30,246,0.1093,0.0031,26.892,8.2,14.5,0.27
fx_futures/CAD,fx_futures,108,222,0.0742,0.0021,16.468,2.06,13.0,0.252
stock/BA,stock,60,208,0.2642,0.0261,54.954,3.47,9.9,1.137
fut_equity/DAX,fut_equity,2,178,0.1712,-0.0157,30.477,89.0,8.54,0.505
fx_futures/PLN,fx_futures,30,172,0.154,0.0049,26.491,5.73,8.13,0.252
fx_futures/AUD,fx_futures,108,168,0.2358,-0.0141,39.617,1.56,9.75,0.548
etf/GLD,etf,42,160,0.1635,-0.0256,26.157,3.81,7.62,0.557
fut_equity/IBEX,fut_equity,40,156,0.5428,-0.0372,84.67,3.9,7.52,0.476
fx_futures/CHF,fx_futures,94,152,0.078,0.0231,11.85,1.62,8.9,0.175
index_pkg/SPX,index_pkg,74,146,0.191,-0.0714,27.883,1.97,6.95,0.55
fut_commodity/SOYBEAN,fut_commodity,34,146,1.818,-0.0095,265.432,4.29,6.92,0.192
stock/AXP,stock,96,144,0.3228,-0.0877,46.487,1.5,6.86,0.936
fx_futures/INR,fx_futures,76,140,0.0625,-0.0247,8.749,1.84,6.88,0.492
stock/NKE,stock,40,140,0.2539,-0.072,35.54,3.5,6.67,1.014
stock/PG,stock,70,132,0.1589,-0.0417,20.976,1.89,6.29,0.709
fx_futures/SEK,fx_futures,54,130,0.107,-0.0086,13.916,2.41,6.53,0.194
index/^RUT,index,34,130,0.2205,-0.0788,28.67,3.82,6.19,0.71
stock/JPM,stock,12,130,0.3521,-0.1064,45.771,10.83,6.19,0.627
fut_rates/US10,fut_rates,10,130,0.1433,0.0339,18.634,13.0,7.66,0.678
stock/CSCO,stock,72,128,0.2629,-0.0181,33.657,1.78,6.1,0.648
fut_commodity/BRENT_W,fut_commodity,30,122,1.1848,-0.0077,144.542,4.07,7.1,0.612
fut_commodity/GAS_US,fut_commodity,2,118,0.1877,-0.0364,22.151,59.0,5.6,0.087
fx_futures/GBP,fx_futures,60,118,0.1646,0.0255,19.42,1.97,6.96,0.45
fx_futures/CLP,fx_futures,40,114,0.1405,0.0313,16.014,2.85,5.43,0.234
fut_commodity/CORN,fut_commodity,2,104,0.1736,0.0508,18.053,52.0,5.56,0.282
fut_equity/FTSE100,fut_equity,2,100,0.2409,-0.0285,24.086,50.0,4.78,0.322
crypto/BTC_20_26,crypto,4,98,0.6095,-0.0598,59.726,24.5,6.76,1.332
stock/AAPL,stock,48,98,0.2704,0.0318,26.497,2.04,4.67,1.428
fut_rates/US20,fut_rates,44,96,0.2672,0.0005,25.656,2.18,5.66,0.484
fx_futures/JPY,fx_futures,10,96,0.0782,-0.003,7.506,9.6,5.66,0.258
fx_futures/NOK,fx_futures,60,90,0.1247,-0.0054,11.219,1.5,4.46,0.063
fx_futures/EUR,fx_futures,34,88,0.0807,-0.0051,7.098,2.59,4.19,0.275
stock/INTC,stock,46,74,0.2593,-0.065,19.187,1.61,3.52,0.663
stock/MMM,stock,20,74,0.2031,-0.0476,15.032,3.7,3.52,1.015
fx_futures/ZAR,fx_futures,40,66,0.8072,-0.0333,53.278,1.65,3.69,0.37
fut_commodity/CRUDE_W,fut_commodity,28,58,0.5311,-0.0265,30.804,2.07,3.4,0.703
fut_equity/KOSPI,fut_equity,34,54,0.1775,-0.0651,9.587,1.59,2.52,0.631
fx_futures/NZD,fx_futures,32,54,0.184,-0.0001,9.934,1.69,3.18,0.421
fut_rates/JGB,fut_rates,28,50,0.0376,-0.0517,1.879,1.79,2.8,0.51
fx_futures/CNH,fx_futures,8,50,0.0514,-0.0059,2.571,6.25,3.1,0.787
index_pkg/NDX,index_pkg,12,50,0.2531,-0.0318,12.654,4.17,2.38,0.683
stock/IBM,stock,8,48,0.206,-0.0193,9.889,6.0,2.29,0.391
stock/DIS,stock,22,44,0.2342,-0.0319,10.307,2.0,2.1,0.991
stock/GS,stock,22,44,0.3153,-0.0808,13.872,2.0,2.1,0.711
crypto/ETH_24_25,crypto,22,40,0.7011,-0.0194,28.042,1.82,2.7,1.04
fut_commodity/COPPER,fut_commodity,24,38,0.274,-0.0519,10.411,1.58,2.23,0.478
stock/CAT,stock,2,34,0.3079,0.0201,10.47,17.0,1.62,0.773
fx_futures/SGD,fx_futures,4,32,0.0479,-0.0778,1.533,8.0,1.62,0.415
fut_equity/HANG,fut_equity,16,32,0.6856,-0.0284,21.938,2.0,1.49,0.466
