asset,asset_class,fast,slow,mode,is_start,split,oos_end,is_bars,oos_bars,is_sharpe,oos_sharpe,is_calmar,oos_calmar,is_max_dd,oos_max_dd,is_cagr,oos_cagr,oos_vol,bh_is_sharpe,bh_oos_sharpe,oos_beats_bh
crypto/BTC_14_19,crypto,5,20,ls,2014-12-21,2017-09-02,2019-07-04,986,658,0.8080156230122342,1.0939125498307227,0.23678978464394188,1.1574256269984846,-0.8748787129728841,-0.6781176957132369,0.20716234203441827,0.7848707991396607,0.8750406365090194,1.5488609144655583,1.0301863297499696,True
crypto/BTC_14_19,crypto,5,35,ls,2015-01-05,2017-09-08,2019-07-04,977,652,0.6980764251948287,1.251467399586592,0.11188154163221826,1.6137660458242387,-0.84392896025865,-0.649212194532303,0.09442007310181283,1.047676596071271,0.8768703313812414,1.526176451202713,1.0779363662211865,True
crypto/BTC_14_19,crypto,8,21,ls,2014-12-22,2017-09-02,2019-07-04,985,658,0.8122796751876648,0.9949585355737074,0.2539730150033987,0.815749853892023,-0.8311132428157186,-0.7816763812662473,0.21108033608715984,0.6376523938087865,0.8750382054428573,1.5496513155969651,1.0301863297499696,False
crypto/BTC_14_19,crypto,9,21,ls,2014-12-22,2017-09-02,2019-07-04,985,658,0.7342143544522152,0.8558037125099399,0.1584309060521484,0.5445579003032984,-0.8311132428157186,-0.8254598341803984,0.13167402409123352,0.44951067408598666,0.8759543422654816,1.5496513155969651,1.0301863297499696,False
crypto/BTC_14_19,crypto,10,20,ls,2014-12-21,2017-09-02,2019-07-04,986,658,0.7415329271955182,0.893523226324315,0.1673691343213129,0.6113343876136028,-0.8311132428157186,-0.8147712860910924,0.13910270397304594,0.49809770522764557,0.875715416101319,1.5488609144655583,1.0301863297499696,False
crypto/BTC_14_19,crypto,10,30,ls,2014-12-31,2017-09-06,2019-07-04,980,654,0.7107189048133784,1.3450019718804695,0.1229450320961761,1.8573089573554231,-0.8738195704723946,-0.6578204212875779,0.10743177513799537,1.2217757607887365,0.8757585139638743,1.5500052559226014,1.0381570674618616,True
crypto/BTC_14_19,crypto,10,100,ls,2015-03-11,2017-10-04,2019-07-04,938,626,1.6064104821885385,1.043922838288487,3.53218262426337,0.8686885391144501,-0.3642864861695669,-0.8092604898508317,1.2867263967021025,0.7029953126915632,0.8663216909331015,1.9293588042303491,1.128740096601528,False
crypto/BTC_14_19,crypto,12,26,ls,2014-12-27,2017-09-04,2019-07-04,982,656,0.6582406755126202,1.3304769758223174,0.06591270777537557,1.8017664019275017,-0.888429413203625,-0.6624907431366023,0.05855878829153893,1.1936535625715126,0.8755264447411377,1.537581012855393,1.0529295881450909,True
crypto/BTC_14_19,crypto,13,48,ls,2015-01-18,2017-09-13,2019-07-04,969,647,0.6103515021270631,1.1249475350224714,0.32573668164131386,1.0273538836519918,-0.5997967803593168,-0.8133499780983297,0.19537581289338785,0.8355982587675814,0.8787872699819729,2.0920032797733445,1.1602623505426826,False
crypto/BTC_14_19,crypto,20,50,ls,2015-01-20,2017-09-14,2019-07-04,968,646,0.7761676852063247,1.5575971752612658,0.626092531155649,2.2000449814622027,-0.5327578463539777,-0.7586250863423691,0.3335557085167943,1.6690093140188595,0.8698737082309971,1.9421812905096176,1.274005923851348,True
crypto/BTC_14_19,crypto,20,60,ls,2015-01-30,2017-09-18,2019-07-04,962,642,1.3418606915340077,1.5874413477536897,1.8049251589348745,2.32207682373146,-0.5157346540956061,-0.7416133711539037,0.9308624525117345,1.722083221325837,0.8615654844294166,2.0160430855552196,1.130372313591886,True
crypto/BTC_14_19,crypto,20,100,ls,2015-03-11,2017-10-04,2019-07-04,938,626,1.7789977448668806,1.123642122120554,3.8078665789059762,1.0579468484622314,-0.4079338184135428,-0.7788309513189238,1.553357553542429,0.8239617504326969,0.8662733653772298,1.9293588042303491,1.128740096601528,False
crypto/BTC_14_19,crypto,21,55,ls,2015-01-25,2017-09-16,2019-07-04,965,644,1.2847634000004104,1.5474290217135827,1.6659736246063743,2.124745218338679,-0.5171094867428392,-0.769097693138217,0.8614907659473097,1.6341366459307352,0.8639640814846132,1.9000946899536635,1.1901694401660783,True
crypto/BTC_14_19,crypto,30,90,ls,2015-03-01,2017-09-30,2019-07-04,944,630,1.6685467701357741,1.133416676573701,3.326609427716626,1.0324154966416668,-0.41498796390340914,-0.8087226198112087,1.3805028731100077,0.834937765177739,0.8638276003607185,2.018724024485073,1.1055008569592102,True
crypto/BTC_14_19,crypto,30,200,ls,2015-06-19,2017-11-13,2019-07-04,878,586,1.8994312642706377,0.8428664472127365,4.050208590221272,0.5538514864227772,-0.46079742115597794,-0.776348787768221,1.8663256735177514,0.4299819300879503,0.8672248311463023,2.3675878430063086,0.86062457303028,False
