fast,slow,markets,med_is,nb_is,med_oos,pos_oos,med_oos_calmar,med_oos_dd,med_bh_oos,rank_is,rank_oos,picked
60,132,81,0.476,0.537,0.261,0.728,0.073,-0.242,0.409,1,9,
60,120,81,0.489,0.537,0.294,0.728,0.109,-0.239,0.411,1,4,by IS neighbour-robust Sharpe + by IS median Sharpe
40,100,81,0.486,0.53,0.247,0.765,0.104,-0.247,0.408,3,19,
80,144,81,0.475,0.529,0.256,0.704,0.099,-0.243,0.409,4,14,
100,200,81,0.458,0.518,0.227,0.741,0.079,-0.234,0.407,5,27,
50,150,81,0.471,0.518,0.235,0.753,0.078,-0.228,0.381,6,24,
116,378,80,0.464,0.51,0.321,0.7,0.122,-0.237,0.407,7,2,
60,180,81,0.448,0.509,0.252,0.728,0.078,-0.235,0.414,8,16,
50,200,81,0.431,0.506,0.229,0.728,0.061,-0.234,0.407,9,26,
30,90,81,0.471,0.503,0.252,0.691,0.076,-0.243,0.401,10,15,
30,200,81,0.45,0.499,0.245,0.753,0.082,-0.228,0.407,11,21,
174,698,79,0.471,0.499,0.247,0.658,0.087,-0.241,0.463,12,20,
100,300,80,0.463,0.498,0.257,0.75,0.077,-0.241,0.422,13,12,
100,250,80,0.462,0.498,0.248,0.75,0.084,-0.237,0.402,14,18,
80,300,80,0.453,0.494,0.257,0.75,0.083,-0.245,0.422,15,13,
134,750,79,0.481,0.49,0.234,0.658,0.092,-0.236,0.463,16,25,
20,100,81,0.464,0.49,0.249,0.704,0.1,-0.234,0.408,17,17,
60,400,80,0.48,0.489,0.293,0.725,0.106,-0.236,0.404,18,5,
150,710,79,0.485,0.485,0.258,0.658,0.088,-0.239,0.463,19,11,
162,678,79,0.48,0.485,0.236,0.658,0.081,-0.239,0.466,20,23,
74,758,79,0.459,0.479,0.26,0.684,0.092,-0.229,0.464,21,10,
100,400,80,0.458,0.478,0.29,0.712,0.079,-0.237,0.404,22,6,
10,100,81,0.474,0.477,0.22,0.716,0.057,-0.23,0.408,23,29,
120,398,80,0.444,0.475,0.317,0.7,0.099,-0.236,0.407,24,3,
62,758,79,0.405,0.47,0.264,0.684,0.096,-0.236,0.464,25,7,
13,48,81,0.433,0.464,0.218,0.691,0.078,-0.224,0.404,26,30,
150,400,80,0.43,0.461,0.352,0.7,0.123,-0.237,0.404,27,1,by OOS median Sharpe (cheating)
200,400,80,0.407,0.457,0.245,0.7,0.106,-0.238,0.404,28,22,
20,60,81,0.432,0.455,0.191,0.716,0.065,-0.242,0.422,30,32,
20,50,81,0.43,0.455,0.174,0.704,0.059,-0.24,0.403,30,36,
21,55,81,0.447,0.455,0.211,0.691,0.069,-0.237,0.427,30,31,
150,500,80,0.41,0.447,0.262,0.65,0.12,-0.237,0.436,32,8,
10,30,81,0.418,0.407,0.159,0.704,0.059,-0.226,0.403,34,38,
10,20,81,0.371,0.407,0.177,0.704,0.055,-0.227,0.394,34,33,
12,26,81,0.402,0.407,0.14,0.704,0.034,-0.229,0.399,34,40,
200,600,80,0.447,0.406,0.225,0.662,0.066,-0.246,0.455,36,28,
5,20,81,0.382,0.384,0.177,0.667,0.052,-0.24,0.394,38,34,
5,35,81,0.414,0.384,0.158,0.667,0.052,-0.245,0.408,38,39,
8,21,81,0.416,0.384,0.172,0.728,0.041,-0.242,0.394,38,37,
9,21,81,0.385,0.384,0.175,0.704,0.04,-0.229,0.394,38,35,
