fast,slow,markets,med_is,nb_is,med_oos,pos_oos,med_oos_calmar,med_oos_dd,med_bh_oos,rank_is,rank_oos,picked
116,378,80,0.326,0.409,0.196,0.662,0.05,-0.342,0.407,1,9,by IS neighbour-robust Sharpe
174,698,80,0.357,0.406,0.213,0.638,0.065,-0.287,0.441,2,8,
60,400,80,0.345,0.398,0.141,0.675,0.023,-0.333,0.404,3,15,
134,750,80,0.393,0.398,0.233,0.638,0.101,-0.263,0.443,4,6,by IS median Sharpe
162,678,80,0.363,0.398,0.235,0.625,0.08,-0.283,0.442,5,5,
150,710,80,0.38,0.397,0.24,0.65,0.092,-0.273,0.448,6,4,
100,400,80,0.333,0.389,0.182,0.6,0.043,-0.323,0.404,7,11,
120,398,80,0.346,0.388,0.169,0.625,0.029,-0.327,0.407,8,13,
74,758,80,0.274,0.387,0.284,0.675,0.151,-0.264,0.443,9,1,by OOS median Sharpe (cheating)
100,300,80,0.338,0.379,0.118,0.588,0.015,-0.373,0.422,10,18,
100,200,81,0.36,0.375,0.035,0.568,-0.019,-0.366,0.407,11,26,
62,758,80,0.265,0.372,0.282,0.65,0.111,-0.278,0.443,12,2,
150,400,80,0.284,0.371,0.222,0.662,0.07,-0.342,0.404,13,7,
80,300,80,0.293,0.368,0.129,0.612,0.007,-0.375,0.422,14,16,
200,400,80,0.294,0.366,0.173,0.688,0.038,-0.305,0.404,15,12,
150,500,80,0.309,0.364,0.186,0.675,0.049,-0.323,0.436,16,10,
100,250,80,0.326,0.363,0.105,0.65,0.011,-0.352,0.402,17,21,
80,144,81,0.338,0.342,0.105,0.593,-0.005,-0.344,0.409,18,20,
200,600,80,0.318,0.34,0.247,0.662,0.054,-0.297,0.455,19,3,
50,200,81,0.29,0.337,0.157,0.605,0.024,-0.349,0.407,20,14,
60,180,81,0.311,0.335,0.129,0.605,0.014,-0.326,0.414,21,17,
60,120,81,0.32,0.317,0.11,0.593,0.004,-0.349,0.411,22,19,
60,132,81,0.297,0.317,0.078,0.63,-0.01,-0.367,0.409,22,23,
50,150,81,0.283,0.312,0.09,0.642,-0.002,-0.347,0.381,24,22,
30,200,81,0.275,0.309,0.058,0.568,-0.008,-0.354,0.407,25,25,
40,100,81,0.242,0.291,0.066,0.556,-0.026,-0.382,0.408,26,24,
30,90,81,0.245,0.25,0.033,0.531,-0.019,-0.401,0.401,27,27,
20,100,81,0.163,0.216,0.013,0.531,-0.033,-0.401,0.408,28,28,
10,100,81,0.174,0.187,-0.015,0.469,-0.044,-0.38,0.408,29,31,
21,55,81,0.14,0.109,-0.027,0.457,-0.046,-0.386,0.427,31,33,
20,60,81,0.13,0.109,-0.007,0.481,-0.043,-0.409,0.422,31,30,
20,50,81,0.102,0.109,-0.001,0.494,-0.033,-0.361,0.403,31,29,
13,48,81,0.129,0.095,-0.032,0.469,-0.047,-0.365,0.404,33,34,
10,30,81,0.016,0.013,-0.059,0.457,-0.05,-0.363,0.403,35,36,
12,26,81,0.046,0.013,-0.049,0.457,-0.052,-0.371,0.399,35,35,
10,20,81,0.029,0.013,-0.061,0.444,-0.054,-0.38,0.394,35,37,
5,20,81,-0.031,-0.028,-0.135,0.37,-0.086,-0.406,0.394,38,40,
5,35,81,0.007,-0.028,-0.12,0.346,-0.077,-0.383,0.408,38,39,
8,21,81,0.043,-0.028,-0.084,0.432,-0.066,-0.363,0.394,38,38,
9,21,81,0.035,-0.028,-0.025,0.444,-0.054,-0.378,0.394,38,32,
