fast,slow,nb_min_sharpe,med_sharpe,share_pos,share_beat_bh,med_calmar,med_dd,med_rt_yr,markets,robust_rank,is_rank
80,144,0.4027,0.4555,0.9024,0.3659,0.1576,-0.3227,1.2263,82.0,239,1
60,116,0.3815,0.4467,0.9634,0.4268,0.1576,-0.3197,1.6552,82.0,1256,2
50,138,0.4,0.446,0.9512,0.3902,0.1516,-0.3269,1.6564,82.0,359,3
70,146,0.4024,0.4454,0.9024,0.3537,0.149,-0.3266,1.3616,82.0,273,4
84,140,0.4001,0.4449,0.9024,0.3659,0.1435,-0.3325,1.2394,82.0,341,5
62,166,0.3757,0.4449,0.9146,0.3659,0.1397,-0.3332,1.2808,82.0,1850,6
46,140,0.3798,0.4437,0.9512,0.378,0.1504,-0.3157,1.6851,82.0,1558,7
50,136,0.3927,0.4437,0.9634,0.4024,0.1539,-0.3269,1.6554,82.0,558,8
82,142,0.4001,0.4428,0.9146,0.3659,0.1522,-0.3234,1.2408,82.0,341,9
56,130,0.3967,0.4423,0.9512,0.4024,0.1572,-0.3304,1.6001,82.0,439,10
78,146,0.4021,0.4421,0.9024,0.3659,0.1514,-0.3192,1.2569,82.0,307,11
76,144,0.4044,0.4418,0.9146,0.3659,0.1453,-0.3261,1.2564,82.0,183,12
48,140,0.3889,0.4418,0.9512,0.378,0.151,-0.3176,1.6716,82.0,766,13
50,132,0.3829,0.4417,0.939,0.4024,0.1411,-0.3145,1.7702,82.0,1042,14
80,146,0.4021,0.4413,0.9024,0.3659,0.1482,-0.3215,1.2242,82.0,307,15
60,162,0.3981,0.441,0.9268,0.378,0.1589,-0.3312,1.3579,82.0,406,16
60,164,0.3959,0.4405,0.9146,0.378,0.1605,-0.334,1.335,82.0,451,17
48,142,0.3986,0.4401,0.9512,0.378,0.1491,-0.3221,1.6534,82.0,389,18
62,114,0.3871,0.44,0.9634,0.4146,0.1519,-0.3138,1.6538,82.0,826,19
82,146,0.4001,0.4399,0.9146,0.378,0.1494,-0.3273,1.1657,82.0,341,20
84,142,0.4001,0.4399,0.9146,0.378,0.1519,-0.3237,1.1848,82.0,341,21
60,140,0.404,0.4392,0.9512,0.3902,0.1453,-0.3404,1.4627,82.0,196,22
60,118,0.3815,0.4392,0.9634,0.4146,0.153,-0.3131,1.6493,82.0,1256,23
62,160,0.3918,0.439,0.9146,0.3659,0.1483,-0.3412,1.3574,82.0,633,24
76,118,0.4103,0.439,0.8902,0.3902,0.1492,-0.3449,1.4495,82.0,21,25
86,138,0.4001,0.439,0.9146,0.3659,0.1479,-0.3286,1.2154,82.0,341,26
50,130,0.3829,0.4387,0.9512,0.4024,0.1471,-0.3139,1.6817,82.0,1042,27
64,160,0.3864,0.4385,0.9268,0.378,0.1391,-0.3307,1.3115,82.0,883,28
72,158,0.3881,0.4382,0.9146,0.3659,0.1573,-0.3305,1.1942,82.0,796,29
46,136,0.3798,0.438,0.9512,0.3902,0.1537,-0.3295,1.7792,82.0,1558,30
52,158,0.4002,0.438,0.9512,0.3537,0.1476,-0.3393,1.4737,82.0,323,31
64,158,0.3953,0.4379,0.9146,0.3659,0.1504,-0.3305,1.3569,82.0,456,32
74,144,0.4056,0.4378,0.9146,0.3659,0.1462,-0.323,1.2736,82.0,175,33
58,168,0.3919,0.4378,0.9146,0.3902,0.1685,-0.339,1.2685,82.0,622,34
86,140,0.4001,0.4377,0.9146,0.378,0.1499,-0.323,1.1841,82.0,341,35
50,128,0.3829,0.4376,0.939,0.4024,0.1542,-0.318,1.7673,82.0,1042,36
82,144,0.4001,0.4376,0.9146,0.378,0.1381,-0.3249,1.2056,82.0,341,37
66,160,0.3864,0.4376,0.9268,0.3659,0.1551,-0.3262,1.2773,82.0,883,38
58,378,0.3715,0.4375,0.8659,0.378,0.1568,-0.3187,0.8478,82.0,2636,39
50,168,0.3868,0.4374,0.9024,0.3659,0.1622,-0.3377,1.4746,82.0,836,40
