fast,slow,nb_min_sharpe,med_sharpe,share_pos,share_beat_bh,med_calmar,med_dd,med_rt_yr,markets,robust_rank,is_rank
116,378,0.246,0.2811,0.7195,0.3415,0.0535,-0.4991,0.2898,82.0,25,1
106,378,0.2244,0.2795,0.7439,0.3293,0.0595,-0.4726,0.3202,82.0,297,2
104,374,0.2195,0.2778,0.7439,0.3171,0.0503,-0.4691,0.3319,82.0,456,3
104,378,0.2195,0.2771,0.7317,0.3415,0.0585,-0.4714,0.3204,82.0,456,4
120,376,0.2494,0.2765,0.7561,0.3293,0.0459,-0.4928,0.2895,82.0,12,5
104,376,0.2195,0.2763,0.7317,0.3293,0.05,-0.4743,0.3282,82.0,456,6
106,380,0.2244,0.2761,0.7561,0.3049,0.0541,-0.4856,0.3203,82.0,297,7
118,378,0.246,0.276,0.7561,0.3415,0.0489,-0.4921,0.2905,82.0,25,8
120,378,0.2494,0.2756,0.7561,0.3415,0.0516,-0.485,0.2905,82.0,12,9
106,374,0.2206,0.2753,0.7439,0.3049,0.0494,-0.4687,0.3202,82.0,370,10
112,378,0.2398,0.2753,0.7317,0.3293,0.0567,-0.4831,0.3096,82.0,55,11
104,380,0.2196,0.2751,0.7561,0.3171,0.0547,-0.4689,0.3285,82.0,439,12
100,380,0.2196,0.2751,0.7317,0.3049,0.0503,-0.4765,0.3367,82.0,439,13
102,378,0.2195,0.275,0.7317,0.3415,0.0532,-0.4688,0.3322,82.0,456,14
116,360,0.2128,0.275,0.7439,0.3171,0.0454,-0.4901,0.3196,82.0,955,15
118,376,0.2486,0.2748,0.7561,0.3293,0.0522,-0.4954,0.2895,82.0,14,16
118,374,0.2377,0.2748,0.7317,0.3171,0.0519,-0.4961,0.2893,82.0,63,17
108,380,0.2244,0.2746,0.7317,0.3049,0.0555,-0.4807,0.3097,82.0,297,18
102,380,0.2196,0.2746,0.7195,0.3171,0.0548,-0.4708,0.3323,82.0,439,19
102,376,0.2195,0.2746,0.7317,0.3171,0.0531,-0.4718,0.3393,82.0,456,20
108,388,0.2376,0.2745,0.7439,0.3293,0.0502,-0.4745,0.302,82.0,86,21
110,382,0.2455,0.2744,0.7439,0.3049,0.0454,-0.4745,0.3107,82.0,36,22
112,384,0.2376,0.2741,0.7561,0.3049,0.0529,-0.4843,0.2946,82.0,86,23
116,376,0.2469,0.274,0.7439,0.3171,0.0514,-0.4851,0.2895,82.0,15,24
106,368,0.2201,0.2737,0.7439,0.2561,0.048,-0.4643,0.3314,82.0,430,25
114,378,0.246,0.2736,0.7561,0.3415,0.0523,-0.4845,0.2942,82.0,25,26
102,382,0.2196,0.2735,0.7195,0.3171,0.0549,-0.476,0.324,82.0,439,27
110,378,0.235,0.2734,0.7439,0.3293,0.0565,-0.4814,0.3148,82.0,115,28
106,372,0.2206,0.2733,0.7439,0.3049,0.0503,-0.4807,0.3279,82.0,370,29
98,388,0.2277,0.2732,0.7317,0.3171,0.0478,-0.474,0.3349,82.0,241,30
100,382,0.2196,0.273,0.7439,0.3049,0.0513,-0.4764,0.3347,82.0,439,31
108,372,0.2206,0.2728,0.7439,0.3171,0.0442,-0.4726,0.3247,82.0,370,32
102,388,0.2277,0.2725,0.7317,0.3293,0.0528,-0.4644,0.3148,82.0,241,33
108,378,0.2244,0.2724,0.7317,0.3293,0.0573,-0.4828,0.3202,82.0,297,34
116,380,0.246,0.2722,0.7561,0.3171,0.0536,-0.4805,0.2907,82.0,25,35
100,394,0.2322,0.272,0.7439,0.3171,0.0453,-0.4664,0.3197,82.0,149,36
110,388,0.2376,0.2717,0.7561,0.3293,0.0512,-0.4843,0.2914,82.0,86,37
102,390,0.2277,0.2717,0.7439,0.3415,0.0549,-0.4681,0.3148,82.0,241,38
82,378,0.2266,0.2713,0.8049,0.3171,0.0525,-0.4789,0.3477,82.0,255,39
116,358,0.2128,0.2713,0.7683,0.3293,0.0514,-0.4928,0.3195,82.0,955,40
