fast,slow,nb_min_sharpe,med_sharpe,share_pos,share_beat_bh,med_calmar,med_dd,med_rt_yr,markets,robust_rank,is_rank
120,398,0.2518,0.2688,0.7317,0.3049,0.0521,-0.4815,0.2919,82.0,4,62
120,400,0.2518,0.2591,0.7195,0.2561,0.0494,-0.4827,0.2921,82.0,4,188
120,394,0.2518,0.2592,0.7317,0.3049,0.045,-0.4913,0.2912,82.0,4,185
120,388,0.2518,0.2593,0.7439,0.3415,0.0496,-0.4937,0.2906,82.0,4,182
120,390,0.2518,0.2635,0.7317,0.3537,0.0507,-0.4913,0.2908,82.0,4,118
120,392,0.2518,0.2577,0.7439,0.3171,0.0469,-0.4913,0.291,82.0,4,206
120,386,0.2518,0.262,0.7439,0.2927,0.0526,-0.4939,0.2904,82.0,4,147
120,396,0.2518,0.2677,0.7317,0.3171,0.048,-0.4881,0.2955,82.0,4,72
120,380,0.2506,0.2696,0.7561,0.3415,0.0519,-0.484,0.2901,82.0,10,55
120,384,0.2506,0.266,0.7439,0.3049,0.0487,-0.4972,0.291,82.0,10,87
120,382,0.2506,0.2565,0.7439,0.3171,0.049,-0.486,0.2903,82.0,10,228
120,376,0.2494,0.2765,0.7561,0.3293,0.0459,-0.4928,0.2895,82.0,12,5
120,378,0.2494,0.2756,0.7561,0.3415,0.0516,-0.485,0.2905,82.0,12,9
118,376,0.2486,0.2748,0.7561,0.3293,0.0522,-0.4954,0.2895,82.0,14,16
116,376,0.2469,0.274,0.7439,0.3171,0.0514,-0.4851,0.2895,82.0,15,24
116,380,0.246,0.2722,0.7561,0.3171,0.0536,-0.4805,0.2907,82.0,25,35
116,378,0.246,0.2811,0.7195,0.3415,0.0535,-0.4991,0.2898,82.0,25,1
118,394,0.246,0.2639,0.7317,0.3171,0.0463,-0.4885,0.2911,82.0,25,112
118,396,0.246,0.2648,0.7683,0.3171,0.0473,-0.4961,0.2955,82.0,25,107
118,398,0.246,0.2671,0.7439,0.3049,0.0447,-0.4934,0.2919,82.0,25,78
118,378,0.246,0.276,0.7561,0.3415,0.0489,-0.4921,0.2905,82.0,25,8
118,392,0.246,0.2664,0.7439,0.3171,0.0445,-0.4872,0.291,82.0,25,85
118,400,0.246,0.2609,0.7317,0.2561,0.0405,-0.4933,0.2928,82.0,25,158
118,386,0.246,0.259,0.7439,0.2927,0.052,-0.486,0.2904,82.0,25,190
118,384,0.246,0.2656,0.7439,0.3049,0.0514,-0.487,0.2906,82.0,25,95
114,378,0.246,0.2736,0.7561,0.3415,0.0523,-0.4845,0.2942,82.0,25,26
114,382,0.246,0.269,0.7439,0.3171,0.0528,-0.4851,0.2909,82.0,25,60
112,382,0.246,0.2696,0.7439,0.3171,0.0484,-0.4759,0.2945,82.0,25,54
114,380,0.246,0.2676,0.7317,0.3171,0.0512,-0.4845,0.2901,82.0,25,74
112,380,0.246,0.2701,0.7439,0.3171,0.0488,-0.4815,0.2944,82.0,25,46
118,380,0.246,0.2684,0.7561,0.3171,0.0498,-0.4852,0.2907,82.0,25,65
118,382,0.246,0.2651,0.7439,0.3049,0.05,-0.4852,0.2909,82.0,25,100
118,390,0.246,0.2555,0.7439,0.3537,0.0443,-0.4929,0.2908,82.0,25,245
118,388,0.246,0.2621,0.7439,0.3415,0.0492,-0.4894,0.2906,82.0,25,140
116,382,0.246,0.2604,0.7439,0.3049,0.0493,-0.4805,0.2903,82.0,25,164
110,382,0.2455,0.2744,0.7439,0.3049,0.0454,-0.4745,0.3107,82.0,36,22
100,396,0.2438,0.27,0.7439,0.3293,0.0515,-0.4664,0.3198,82.0,38,51
100,400,0.2438,0.2623,0.7439,0.2683,0.0453,-0.4765,0.3152,82.0,38,138
98,400,0.2438,0.262,0.7439,0.2683,0.0437,-0.4626,0.3244,82.0,38,146
100,398,0.2438,0.2668,0.7439,0.3171,0.0542,-0.4765,0.3151,82.0,38,80
