pair,fast,slow,mode,sharpe,cagr,max_dd,calmar,vol,vt_sharpe,vt_cagr,vt_dd,vt_calmar,markets,active_share,bars,why
5/20,5,20,long,0.699,0.083,-0.386,0.215,0.125,0.824,0.078,-0.365,0.213,82,0.11,15798,famous
5/20,5,20,ls,0.363,0.048,-0.529,0.091,0.169,0.587,0.054,-0.35,0.155,82,0.11,15798,famous
5/35,5,35,long,0.722,0.088,-0.421,0.208,0.128,0.905,0.086,-0.335,0.257,82,0.11,15777,famous
5/35,5,35,ls,0.415,0.058,-0.584,0.099,0.169,0.699,0.066,-0.385,0.172,82,0.11,15777,famous
8/21,8,21,long,0.723,0.085,-0.375,0.228,0.124,0.867,0.082,-0.321,0.256,82,0.11,15797,famous
8/21,8,21,ls,0.394,0.054,-0.532,0.101,0.168,0.645,0.06,-0.386,0.156,82,0.11,15797,famous
9/21,9,21,long,0.703,0.084,-0.368,0.228,0.126,0.874,0.083,-0.31,0.268,82,0.11,15797,famous
9/21,9,21,ls,0.38,0.051,-0.585,0.087,0.169,0.646,0.06,-0.344,0.176,82,0.11,15797,famous
10/20,10,20,long,0.685,0.082,-0.404,0.202,0.126,0.858,0.081,-0.315,0.258,82,0.11,15798,famous
10/20,10,20,ls,0.354,0.047,-0.582,0.08,0.169,0.626,0.058,-0.394,0.148,82,0.11,15798,famous
10/100,10,100,long,0.707,0.09,-0.563,0.16,0.135,0.942,0.089,-0.411,0.216,82,0.11,15692,famous
10/100,10,100,ls,0.417,0.058,-0.775,0.074,0.168,0.714,0.068,-0.532,0.128,82,0.11,15692,famous
12/26,12,26,long,0.69,0.083,-0.485,0.172,0.128,0.874,0.083,-0.425,0.195,82,0.11,15790,famous
12/26,12,26,ls,0.376,0.051,-0.66,0.077,0.169,0.675,0.064,-0.452,0.141,82,0.11,15790,famous
13/48,13,48,long,0.703,0.086,-0.468,0.184,0.129,0.879,0.083,-0.312,0.267,82,0.11,15760,famous
13/48,13,48,ls,0.386,0.052,-0.601,0.087,0.169,0.656,0.062,-0.431,0.144,82,0.11,15760,famous
20/50,20,50,long,0.68,0.084,-0.479,0.175,0.131,0.881,0.084,-0.345,0.242,82,0.11,15758,famous
20/50,20,50,ls,0.367,0.049,-0.69,0.071,0.169,0.652,0.061,-0.444,0.138,82,0.11,15758,famous
20/100,20,100,long,0.712,0.091,-0.529,0.172,0.135,0.935,0.088,-0.312,0.283,82,0.11,15692,famous
20/100,20,100,ls,0.431,0.06,-0.658,0.091,0.168,0.688,0.065,-0.45,0.145,82,0.11,15692,famous
21/55,21,55,long,0.709,0.088,-0.466,0.19,0.132,0.908,0.086,-0.33,0.26,82,0.11,15751,famous
21/55,21,55,ls,0.421,0.059,-0.626,0.093,0.169,0.673,0.064,-0.427,0.149,82,0.11,15751,famous
50/138,50,138,long,0.722,0.096,-0.419,0.23,0.141,0.986,0.092,-0.224,0.409,82,0.11,15640,cand_long
50/138,50,138,ls,0.501,0.072,-0.562,0.128,0.166,0.744,0.071,-0.308,0.23,82,0.11,15640,cand_long
