pair,mode,sharpe,cagr,max_dd,calmar,vol,years,share_years_positive,worst_year,best_year,median_year
5/35,long,0.905,0.086,-0.335,0.257,0.096,57,0.719,-0.125,0.451,0.087
5/35,ls,0.699,0.066,-0.385,0.172,0.098,57,0.737,-0.13,0.485,0.065
9/21,long,0.874,0.083,-0.31,0.268,0.097,57,0.667,-0.119,0.408,0.113
9/21,ls,0.646,0.06,-0.344,0.176,0.098,57,0.702,-0.105,0.501,0.06
10/20,long,0.858,0.081,-0.315,0.258,0.097,57,0.684,-0.137,0.398,0.112
10/20,ls,0.626,0.058,-0.394,0.148,0.098,57,0.702,-0.11,0.496,0.06
12/26,long,0.874,0.083,-0.425,0.195,0.097,57,0.684,-0.172,0.415,0.093
12/26,ls,0.675,0.064,-0.452,0.141,0.098,57,0.684,-0.153,0.553,0.08
20/50,long,0.881,0.084,-0.345,0.242,0.096,57,0.737,-0.15,0.435,0.095
20/50,ls,0.652,0.061,-0.444,0.138,0.099,57,0.719,-0.178,0.353,0.035
21/55,long,0.908,0.086,-0.33,0.26,0.096,57,0.754,-0.153,0.433,0.115
21/55,ls,0.673,0.064,-0.427,0.149,0.099,57,0.754,-0.203,0.359,0.048
32/384,long,0.883,0.081,-0.274,0.295,0.093,55,0.709,-0.122,0.486,0.071
32/384,ls,0.646,0.061,-0.374,0.162,0.099,55,0.673,-0.219,0.381,0.07
50/200,long,0.917,0.085,-0.317,0.267,0.093,56,0.679,-0.134,0.452,0.089
50/200,ls,0.628,0.059,-0.516,0.114,0.099,56,0.696,-0.203,0.353,0.071
58/134,long,0.97,0.09,-0.214,0.42,0.093,57,0.719,-0.123,0.422,0.083
58/134,ls,0.711,0.067,-0.318,0.212,0.098,57,0.719,-0.205,0.337,0.068
60/130,long,0.973,0.09,-0.211,0.428,0.093,57,0.719,-0.125,0.422,0.084
60/130,ls,0.71,0.067,-0.32,0.21,0.098,57,0.719,-0.205,0.34,0.069
60/132,long,0.969,0.09,-0.211,0.425,0.093,57,0.737,-0.124,0.422,0.082
60/132,ls,0.712,0.067,-0.32,0.21,0.098,57,0.719,-0.204,0.338,0.069
62/128,long,0.953,0.088,-0.218,0.405,0.093,57,0.719,-0.125,0.421,0.083
62/128,ls,0.702,0.066,-0.321,0.207,0.098,57,0.719,-0.204,0.342,0.069
62/130,long,0.963,0.089,-0.22,0.406,0.093,57,0.719,-0.124,0.424,0.082
62/130,ls,0.702,0.066,-0.321,0.207,0.098,57,0.719,-0.204,0.339,0.065
78/118,long,0.921,0.085,-0.227,0.374,0.093,57,0.719,-0.119,0.424,0.082
78/118,ls,0.666,0.063,-0.342,0.183,0.098,57,0.702,-0.211,0.34,0.07
80/144,long,0.949,0.088,-0.295,0.298,0.093,56,0.732,-0.154,0.435,0.11
80/144,ls,0.68,0.064,-0.441,0.145,0.099,56,0.75,-0.225,0.36,0.081
100/300,long,0.777,0.07,-0.348,0.202,0.093,56,0.696,-0.22,0.463,0.071
100/300,ls,0.502,0.046,-0.523,0.087,0.098,56,0.643,-0.227,0.342,0.074
116/378,long,0.847,0.077,-0.314,0.246,0.093,56,0.714,-0.19,0.476,0.069
116/378,ls,0.605,0.056,-0.536,0.105,0.099,56,0.643,-0.229,0.349,0.073
120/398,long,0.836,0.076,-0.306,0.249,0.093,55,0.727,-0.148,0.465,0.064
120/398,ls,0.576,0.053,-0.506,0.106,0.099,55,0.673,-0.234,0.328,0.059
200/400,long,0.754,0.068,-0.308,0.22,0.093,55,0.709,-0.179,0.474,0.064
200/400,ls,0.453,0.041,-0.596,0.068,0.099,55,0.636,-0.258,0.352,0.028
