asset,fold,test,best_fast,best_slow,is_sharpe,oos_of_is_best,oos_oracle,oos_median
etf/GLD,1,2010-09-09..2012-05-19,2,162,1.607,-0.088,0.999,0.324
etf/GLD,2,2012-05-19..2014-01-26,66,108,0.999,0.832,1.161,0.714
etf/GLD,3,2014-01-26..2015-10-06,38,150,1.161,-0.342,0.499,0.309
etf/GLD,4,2015-10-06..2017-06-14,46,156,0.499,-0.39,0.952,-0.802
etf/GLD,5,2017-06-14..2019-02-22,6,12,0.952,0.104,1.08,-0.326
etf/QQQ,1,2010-09-09..2012-05-19,38,60,1.334,-0.927,0.312,0.304
etf/QQQ,2,2012-05-19..2014-01-26,98,156,0.312,2.225,2.345,2.175
etf/QQQ,3,2014-01-26..2015-10-06,26,150,2.345,-0.036,0.932,0.423
etf/QQQ,4,2015-10-06..2017-06-14,46,78,0.932,0.978,2.434,2.11
etf/QQQ,5,2017-06-14..2019-02-22,26,156,2.434,-0.065,0.761,0.007
etf/SHY,1,2010-09-09..2012-05-19,2,156,1.827,0.956,1.967,1.274
etf/SHY,2,2012-05-19..2014-01-26,62,144,1.967,-1.721,0.548,-0.783
etf/SHY,3,2014-01-26..2015-10-06,110,168,0.548,1.098,1.141,1.098
etf/SHY,4,2015-10-06..2017-06-14,14,162,1.141,-1.219,0.427,-0.832
etf/SHY,5,2017-06-14..2019-02-22,118,246,0.427,1.073,2.006,1.147
etf/SPY,1,2010-09-09..2012-05-19,38,72,1.036,-1.058,0.683,-0.903
etf/SPY,2,2012-05-19..2014-01-26,2,48,0.683,0.564,2.179,1.945
etf/SPY,3,2014-01-26..2015-10-06,18,126,2.179,-1.006,0.38,-0.101
etf/SPY,4,2015-10-06..2017-06-14,58,132,0.38,1.705,2.035,1.764
etf/SPY,5,2017-06-14..2019-02-22,10,156,2.035,-0.383,1.186,-0.25
fut_commodity/BRENT_W,1,1996-04-22..2001-11-22,50,84,0.71,1.059,1.488,0.728
fut_commodity/BRENT_W,2,2001-11-22..2007-06-25,2,66,1.488,0.614,0.927,0.608
fut_commodity/BRENT_W,3,2007-06-25..2013-01-24,6,360,0.927,-0.134,0.851,-0.324
fut_commodity/BRENT_W,4,2013-01-24..2018-08-26,6,18,0.851,0.116,0.561,0.139
fut_commodity/BRENT_W,5,2018-08-26..2024-03-28,66,396,0.561,0.036,0.704,0.344
fut_commodity/COPPER,1,2000-06-05..2005-03-10,2,180,0.605,0.616,1.008,0.604
fut_commodity/COPPER,2,2005-03-10..2009-12-14,82,396,1.008,-0.419,1.577,0.186
fut_commodity/COPPER,3,2009-12-14..2014-09-18,6,66,1.577,-0.238,0.136,-0.458
fut_commodity/COPPER,4,2014-09-18..2019-06-23,10,48,0.136,-0.303,0.457,-0.148
fut_commodity/COPPER,5,2019-06-23..2024-03-28,2,306,0.457,0.356,0.568,0.006
fut_commodity/CORN,1,1981-05-15..1989-12-11,6,66,0.548,0.432,0.86,0.29
fut_commodity/CORN,2,1989-12-11..1998-07-08,30,48,0.86,0.066,0.25,-0.167
fut_commodity/CORN,3,1998-07-08..2007-02-03,18,42,0.25,0.299,0.611,-0.024
fut_commodity/CORN,4,2007-02-03..2015-08-31,10,24,0.611,0.509,0.907,0.314
fut_commodity/CORN,5,2015-08-31..2024-03-28,2,108,0.907,0.172,0.404,0.163
fut_commodity/COTTON,1,2009-12-28..2012-11-03,6,54,0.495,1.554,1.891,0.977
fut_commodity/COTTON,2,2012-11-03..2015-09-10,54,108,1.891,-0.458,0.735,-0.213
fut_commodity/COTTON,3,2015-09-10..2018-07-16,2,372,0.735,-0.586,0.722,0.02
fut_commodity/COTTON,4,2018-07-16..2021-05-22,118,246,0.722,-0.065,1.118,0.317
fut_commodity/COTTON,5,2021-05-22..2024-03-28,10,36,1.118,0.142,0.775,-0.369
fut_commodity/CRUDE_W,1,2007-06-01..2010-10-12,6,108,1.455,0.54,1.309,-0.897
fut_commodity/CRUDE_W,2,2010-10-12..2014-02-22,2,24,1.309,-0.399,0.703,-0.891
fut_commodity/CRUDE_W,3,2014-02-22..2017-07-05,14,30,0.703,-0.063,0.796,-0.185
